Name,Book On Location,Book On Time,Book Off Time,Book Off Location,Duration,Remarks
15101,HUH,6:41 上午,2:56 下午,HUH,7:45,TAP PICK T32
15102,HUH,5:16 上午,1:16 下午,HUH,7:30,MKKP1S T3
15103,HTD,5:05 上午,1:05 下午,HUH,7:30,T24
15104,HUH,1:44 下午,8:59 下午,HUH,6:45,EMU
15105,HUH,11:00 上午,7:45 下午,HUH,8:15,KB
15106,HUH,10:22 上午,5:37 下午,HUH,6:45,EMU
15107,HUH,5:22 上午,12:52 下午,HUH,7:00,EMU
15108,HUH,8:05 上午,4:50 下午,HUH,8:15,EMU
15109,HUH,5:07 下午,1:22 上午,HUH,7:45,FOTP1 STOP
15110,HUH,6:00 下午,1:45 上午,HUH,7:15,SHTP3 STOP
15111,HUH,2:11 下午,10:26 下午,HTD,7:45,EMU
15112,HUH,5:17 上午,12:32 下午,HUH,6:45,EMU
15113,SHT,4:05 上午,10:35 上午,HUH,6:00,SHTP4S T8
15114,HUH,1:01 下午,8:16 下午,HUH,6:45,EMU/PMBY
15115,HUH,1:17 下午,9:32 下午,HUH,7:45,EMU
15116,HUH,12:22 下午,7:22 下午,HUH,6:30,EMU
15117,HUH,7:34 上午,4:19 下午,HUH,8:15,EMU
15118,HUH,5:41 上午,1:11 下午,HUH,7:00,EMU
15119,HUH,4:28 上午,10:58 上午,HUH,6:00,MKKP3 T5
15120,HUH,5:34 下午,1:34 上午,HTD,7:30,EMU
15121,HUH,5:42 下午,1:27 上午,HUH,7:15,SHTP4 STOP
15122,HUH,4:31 下午,1:16 上午,HUH,8:15,MKKP1 STOP
15123,HTD,5:53 上午,1:38 下午,HTD,7:15,T29
15124,HUH,6:53 上午,2:23 下午,HUH,7:00,EMU
15125,HTD,5:11 上午,11:41 上午,HTD,6:00,T25
15126,HUH,1:12 下午,9:57 下午,HUH,8:15,EMU
15127,HUH,10:50 上午,6:05 下午,HUH,6:45,EMU
15128,HUH,6:44 上午,2:14 下午,HUH,7:00,EMU
15129,SHT,4:05 上午,10:35 上午,HTD,6:00,SHTP3 T7
15130,HUH,6:54 下午,1:54 上午,HUH,6:30,MKKP3 STOP
15131,HUH,5:15 下午,1:30 上午,HUH,7:45,KB
15132,HUH,4:02 下午,11:17 下午,HUH,6:45,EMU
15133,HUH,7:17 上午,2:32 下午,HUH,6:45,EMU
15134,HTD,5:00 上午,1:30 下午,HTD,8:00,HB/Hot Standby
15135,HUH,4:50 上午,12:50 下午,HUH,7:30,HUHP1 T1
15136,HUH,4:28 下午,1:13 上午,HUH,8:15,HUHP1 STOP
15137,HTD,5:03 下午,1:03 上午,HUH,7:30,T31a
15138,HUH,4:19 下午,1:04 上午,HTD,8:15,EMU
15139,HUH,5:56 上午,1:26 下午,HUH,7:00,EMU
15140,HUH,4:28 上午,12:28 下午,HUH,7:30,KB
15141,HUH,6:34 上午,1:49 下午,HUH,6:45,EMU
15142,HUH,5:39 下午,1:24 上午,HUH,7:15,SHTP4S STOP
15143,HUH,6:26 下午,1:26 上午,HUH,6:30,EMU
15144,HUH,6:37 上午,3:07 下午,HUH,8:00,EMU
15145,HUH,7:58 上午,4:43 下午,HUH,8:15,EMU
15146,HUH,1:30 下午,9:15 下午,HUH,7:15,EMU
15147,HUH,12:41 下午,7:41 下午,HUH,6:30,EMU
15148,HUH,11:36 上午,7:06 下午,HUH,7:00,EMU
15149,HUH,4:50 上午,12:20 下午,HUH,7:00,HUHP4 T2/AM BY
15150,HUH,4:28 上午,12:28 下午,HUH,7:30,MKKP1 T4
15151,HTD,5:31 上午,1:46 下午,HUH,7:45,T28
15152,HUH,6:19 下午,1:49 上午,HUH,7:00,HUHP4 STOP
15153,HUH,6:10 下午,1:55 上午,HUH,7:15,SHTP1 STOP
15154,HUH,4:57 下午,1:12 上午,HUH,7:45,EMU
15155,HUH,6:23 上午,1:53 下午,HUH,7:00,EMU
15156,HTD,6:34 上午,2:49 下午,HUH,7:45,T31
15157,HUH,2:32 下午,11:17 下午,HUH,8:15,MKKP1S STOP
15158,HUH,12:38 下午,7:38 下午,HUH,6:30,EMU
15159,HTD,12:00 下午,7:15 下午,HUH,6:45,HTD BY/T30a
153O1,HUH,7:40 上午,4:40 下午,HUH,8:30,P705/P706/P711/P716
15302,LOW,7:15 上午,3:15 下午,LOW,7:30,RS
15303,HUH,11:30 下午,6:30 上午,HUH,7:00,MOL
15304,HUH,10:10 下午,6:10 上午,HUH,8:00,ET6
15305,HUH,10:10 下午,6:10 上午,HUH,8:00,ET5
15306,HUH,8:30 上午,3:00 下午,HUH,6:00,P704/P709/P714
15307,HUH,6:56 上午,3:41 下午,HUH,8:15,EMU
15308,HUH,10:10 下午,6:10 上午,HUH,8:00,ET8
15309,HUH,10:10 下午,6:10 上午,HUH,8:00,ET3
15310,HUH,10:10 下午,6:10 上午,HUH,8:00,ET1
15311,HUH,3:30 下午,12:30 上午,HUH,8:30,P721/P724/KB
15312,HUH,1:37 下午,9:37 下午,HUH,7:30,EMU
15313,HUH,2:40 下午,12:10 上午,HUH,9:00,P717/P722/P727/P728
15314,LOW,2:30 下午,10:30 下午,LOW,7:30,RS/MTT
15315,HUH,1:30 下午,8:30 下午,HUH,6:30,P715/P720/P725
15316,LOW,7:15 上午,3:15 下午,LOW,7:30,RS
15317,HUH,6:15 上午,1:45 下午,HUH,7:00,P701/P702/P707/P710
15318,LOW,2:30 下午,10:30 下午,LOW,7:30,RS/MTT
15319,HUH,10:10 下午,6:10 上午,HUH,8:00,ET10
15320,HUH,10:10 下午,6:10 上午,HUH,8:00,ET9
15321,HUH,10:10 下午,6:10 上午,HUH,8:00,ET7
15322,HUH,10:10 下午,6:10 上午,HUH,8:00,ET4
15323,HUH,10:10 下午,6:10 上午,HUH,8:00,ET2
15501,SHS,6:00 上午,2:00 下午,HUH,7:30,LOWP3 PICK T27
15502,SHS,4:55 上午,11:55 上午,HUH,6:30,LOWP1 T20
15503,SHT,4:05 上午,10:50 上午,HUH,6:15,FOTP4 T11
15504,HUH,3:38 下午,11:53 下午,HUH,7:45,LG2SSTOP
15505,HUH,12:58 下午,9:43 下午,HTD,8:15,EMU
15506,HUH,11:17 上午,6:17 下午,HUH,6:30,EMU
15507,SHS,6:00 上午,2:30 下午,HUH,8:00,LG1N T18/LOW BY
15508,SHT,4:05 上午,11:20 上午,HUH,6:45,SHTP4 T9
15509,HUH,5:30 下午,1:45 上午,HTD,7:45,EMU
15510,HUH,4:46 下午,1:31 上午,HUH,8:15,SHSP2 STOP
15511,HUH,2:20 下午,10:35 下午,HUH,7:45,SG2S STOP
15512,SHS,4:55 上午,12:55 下午,HUH,7:30,LG2N T19
15513,SHS,4:55 上午,12:25 下午,HUH,7:00,LMC PICK T4
15514,SHT,4:05 上午,11:35 上午,HUH,7:00,LOWP3PICKT13/AM BY
15515,HUH,1:09 下午,9:54 下午,HUH,8:15,EMU
15516,HUH,12:54 下午,7:54 下午,HUH,6:30,LOW OFF
15517,HTD,6:44 上午,3:29 下午,HUH,8:15,T32
15518,SHT,4:05 上午,12:05 下午,HUH,7:30,SB
15519,SHS,4:55 上午,12:10 下午,HUH,6:45,LMCP2 T23
15520,HUH,4:33 下午,1:18 上午,HUH,8:15,LMCP1 STOP
15521,HUH,2:40 下午,11:25 下午,HUH,8:15,LG2N STOP
15522,HUH,1:24 下午,9:54 下午,HUH,8:00,LMC OFF
15523,HUH,7:31 上午,4:16 下午,HUH,8:15,EMU
15524,SHS,4:55 上午,11:25 上午,HUH,6:00,LOWP3 T21
15525,SHT,4:05 上午,11:05 上午,HTD,6:30,FOTP1 T10
15526,HUH,5:23 下午,1:38 上午,HUH,7:45,LOWP3 STOP
15527,HUH,4:00 下午,12:30 上午,HUH,8:00,SB
15528,HTD,6:02 上午,2:32 下午,HUH,8:00,T30
15529,SHT,4:05 上午,11:35 上午,HTD,7:00,RACP1 T12
15530,HUH,6:57 下午,1:42 上午,HTD,6:15,EMU
