﻿Name,Book On Location,Book On Time,Book Off Time,Book Off Location,Duration,Remarks
15101,HUH,06:41 AM,02:56 PM,HUH,0/1/1900,TAP PICK T32
15102,HUH,05:16 AM,01:16 PM,HUH,0/1/1900,MKKP1S T3
15103,HTD,05:05 AM,01:05 PM,HUH,0/1/1900,T24
15104,HUH,01:44 PM,08:59 PM,HUH,0/1/1900,EMU
15105,HUH,11:00 AM,07:45 PM,HUH,0/1/1900,KB
15106,HUH,10:22 AM,05:37 PM,HUH,0/1/1900,EMU
15107,HUH,05:22 AM,12:52 PM,HUH,0/1/1900,EMU
15108,HUH,08:05 AM,04:50 PM,HUH,0/1/1900,EMU
15109,HUH,05:07 PM,01:22 AM,HUH,0/1/1900,FOTP1 STOP
15110,HUH,06:00 PM,01:45 AM,HUH,0/1/1900,SHTP3 STOP
15111,HUH,02:11 PM,10:26 PM,HTD,0/1/1900,EMU
15112,HUH,05:17 AM,12:32 PM,HUH,0/1/1900,EMU
15113,SHT,04:05 AM,10:35 AM,HUH,0/1/1900,SHTP4S T8
15114,HUH,01:01 PM,08:16 PM,HUH,0/1/1900,EMU/PMBY
15115,HUH,01:17 PM,09:32 PM,HUH,0/1/1900,EMU
15116,HUH,12:22 PM,07:22 PM,HUH,0/1/1900,EMU
15117,HUH,07:34 AM,04:19 PM,HUH,0/1/1900,EMU
15118,HUH,05:41 AM,01:11 PM,HUH,0/1/1900,EMU
15119,HUH,04:28 AM,10:58 AM,HUH,0/1/1900,MKKP3 T5
15120,HUH,05:34 PM,01:34 AM,HTD,0/1/1900,EMU
15121,HUH,05:42 PM,01:27 AM,HUH,0/1/1900,SHTP4 STOP
15122,HUH,04:31 PM,01:16 AM,HUH,0/1/1900,MKKP1 STOP
15123,HTD,05:53 AM,01:38 PM,HTD,0/1/1900,T29
15124,HUH,06:53 AM,02:23 PM,HUH,0/1/1900,EMU
15125,HTD,05:11 AM,11:41 AM,HTD,0/1/1900,T25
15126,HUH,01:12 PM,09:57 PM,HUH,0/1/1900,EMU
15127,HUH,10:50 AM,06:05 PM,HUH,0/1/1900,EMU
15128,HUH,06:44 AM,02:14 PM,HUH,0/1/1900,EMU
15129,SHT,04:05 AM,10:35 AM,HTD,0/1/1900,SHTP3 T7
15130,HUH,06:54 PM,01:54 AM,HUH,0/1/1900,MKKP3 STOP
15131,HUH,05:15 PM,01:30 AM,HUH,0/1/1900,KB
15132,HUH,04:02 PM,11:17 PM,HUH,0/1/1900,EMU
15133,HUH,07:17 AM,02:32 PM,HUH,0/1/1900,EMU
15134,HTD,05:00 AM,01:30 PM,HTD,0/1/1900,HB/Hot Standby
15135,HUH,04:50 AM,12:50 PM,HUH,0/1/1900,HUHP1 T1
15136,HUH,04:28 PM,01:13 AM,HUH,0/1/1900,HUHP1 STOP
15137,HTD,05:03 PM,01:03 AM,HUH,0/1/1900,T31a
15138,HUH,04:19 PM,01:04 AM,HTD,0/1/1900,EMU
15139,HUH,05:56 AM,01:26 PM,HUH,0/1/1900,EMU
15140,HUH,04:28 AM,12:28 PM,HUH,0/1/1900,KB
15141,HUH,06:34 AM,01:49 PM,HUH,0/1/1900,EMU
15142,HUH,05:39 PM,01:24 AM,HUH,0/1/1900,SHTP4S STOP
15143,HUH,06:26 PM,01:26 AM,HUH,0/1/1900,EMU
15144,HUH,06:37 AM,03:07 PM,HUH,0/1/1900,EMU
15145,HUH,07:58 AM,04:43 PM,HUH,0/1/1900,EMU
15146,HUH,01:30 PM,09:15 PM,HUH,0/1/1900,EMU
15147,HUH,12:41 PM,07:41 PM,HUH,0/1/1900,EMU
15148,HUH,11:36 AM,07:06 PM,HUH,0/1/1900,EMU
15149,HUH,04:50 AM,12:20 PM,HUH,0/1/1900,HUHP4 T2/AM BY
15150,HUH,04:28 AM,12:28 PM,HUH,0/1/1900,MKKP1 T4
15151,HTD,05:31 AM,01:46 PM,HUH,0/1/1900,T28
15152,HUH,06:19 PM,01:49 AM,HUH,0/1/1900,HUHP4 STOP
15153,HUH,06:10 PM,01:55 AM,HUH,0/1/1900,SHTP1 STOP
15154,HUH,04:57 PM,01:12 AM,HUH,0/1/1900,EMU
15155,HUH,06:23 AM,01:53 PM,HUH,0/1/1900,EMU
