番號,上班地點,上班時間,下班時間,下班地點,工時,備註
A14101,HUH,07:33 ,14:33 ,HUH,06:30,EMU
A14102,HUH,05:16 ,13:16 ,HUH,07:30,MKKP1S Run3
A14103,HTD,05:05 ,12:05 ,HUH,06:30,Run24
A14104,HUH,14:00 ,20:30 ,HUH,06:00,EMU
A14105,HUH,11:00 ,19:45 ,HUH,08:15,KB
A14106,HUH,10:44 ,17:44 ,HUH,06:30,EMU
A14107,HUH,05:22 ,13:07 ,HUH,07:15,EMU
A14108,HUH,08:11 ,15:41 ,HUH,07:00,EMU
A14109,HUH,18:10 ,01:25 ,HUH,06:45,FOTP1  STOP
A14110,HUH,17:35 ,01:35 ,HUH,07:30,SHTP3 STOP
A14111,HUH,14:07 ,22:07 ,HUH,07:30,EMU
A14112,HUH,05:17 ,11:47 ,HUH,06:00,EMU
A14113,SHT,04:05 ,11:20 ,HUH,06:45,SHTP4S Run8
A14114,HUH,12:36 ,19:06 ,HUH,06:00,EMU
A14115,HUH,13:04 ,21:04 ,HTD,07:30,EMU
A14116,HUH,12:22 ,21:07 ,HUH,08:15,EMU
A14117,HUH,08:07 ,14:37 ,HUH,06:00,EMU
A14118,HUH,05:26 ,11:56 ,HTD,06:00,EMU
A14119,HUH,04:28 ,11:43 ,HUH,06:45,MKKP3 Run5
A14120,HTD,16:31 ,00:46 ,HUH,07:45,Run12(2)
A14121,HUH,17:46 ,01:31 ,HUH,07:15,SHTP4  STOP
A14122,HUH,14:49 ,22:19 ,HUH,07:00,EMU
A14123,HUH,07:14 ,13:44 ,HUH,06:00,EMU
A14124,HUH,06:55 ,15:25 ,HUH,08:00,EMU
A14125,HTD,05:11 ,12:26 ,HUH,06:45,Run25
A14126,HUH,13:18 ,21:33 ,HTD,07:45,EMU
A14127,HUH,12:01 ,20:46 ,HUH,08:15,EMU
A14128,HUH,06:30 ,15:15 ,HUH,08:15,EMU
A14129,SHT,04:05 ,10:50 ,HUH,06:15,SHTP3 Run7
A14130,HUH,18:55 ,01:40 ,HUH,06:15,MKKP3 STOP
A14131,HUH,17:15 ,01:30 ,HUH,07:45,KB
A14132,HUH,15:17 ,00:02 ,HUH,08:15,EMU
A14133,HUH,06:41 ,15:11 ,HUH,08:00,EMU
A14134,HTD,05:00 ,13:30 ,HTD,08:00,HB/Hot Standby
A14135,HUH,04:50 ,11:20 ,HUH,06:00,HUHP1 Run1
A14136,HUH,14:28 ,22:13 ,HUH,07:15,MKKP1 STOP
A14137,HUH,15:03 ,23:03 ,HUH,07:30,EMU
A14138,HUH,16:27 ,01:12 ,HTD,08:15,EMU
A14139,HUH,05:56 ,12:26 ,HUH,06:00,EMU
A14140,HUH,04:28 ,12:28 ,HUH,07:30,KB
A14141,HUH,06:34 ,13:04 ,HTD,06:00,EMU
A14142,HUH,17:14 ,01:44 ,HUH,08:00,HUHP1 STOP
A14143,HUH,16:34 ,01:04 ,HUH,08:00,EMU
A14144,HUH,06:15 ,12:45 ,HUH,06:00,EMU
A14145,HUH,08:01 ,16:16 ,HUH,07:45,EMU
A14146,HUH,14:14 ,22:14 ,HUH,07:30,EMU
A14147,HUH,12:50 ,21:20 ,HUH,08:00,EMU
A14148,HUH,11:26 ,19:41 ,HUH,07:45,EMU
A14149,HUH,04:50 ,11:20 ,HUH,06:00,HUHP4 Run2
A14150,HUH,04:28 ,10:58 ,HUH,06:00,MKKP1 Run4
A14151,HTD,05:26 ,11:56 ,HUH,06:00,Run27
A14152,HUH,17:46 ,01:46 ,HUH,07:30,HUHP4  STOP
A14153,HUH,18:06 ,01:51 ,HUH,07:15,SHTP1  STOP
A14154,HUH,16:41 ,01:11 ,HUH,08:00,EMU
A14155,HUH,06:37 ,14:52 ,HUH,07:45,EMU
A14156,HTD,06:36 ,13:06 ,HUH,06:00,Run29
A14157,HUH,15:10 ,21:40 ,HUH,06:00,MKKP1S STOP
A14158,HUH,15:45 ,22:15 ,HTD,06:00,EMU
A14159,HTD,12:00 ,19:30 ,HUH,07:00,HTD BY / T19(2)
A14301,HUH,08:00 ,14:30 ,HUH,06:00,P702/P705/P712
A14302,LOW,07:15 ,15:15 ,LOW,07:30,RS
A14303,HUH,22:10 ,06:10 ,HUH,07:30,ET12
A14304,HUH,22:10 ,06:10 ,HUH,07:30,ET6
A14305,HUH,22:10 ,06:10 ,HUH,07:30,ET5
A14306,HUH,10:15 ,17:15 ,HUH,06:30,P708/P713
A14307,HUH,13:32 ,22:02 ,HUH,08:00,EMU
A14308,HUH,13:30 ,22:15 ,HUH,08:15,P714/P717/P720
A14309,LOW,14:30 ,22:30 ,LOW,07:30,RS/MTT
A14310,HUH,13:30 ,21:45 ,HUH,07:45,P711/P718/P721
A14311,HUH,08:00 ,15:00 ,HUH,06:30,P703/P704/P707
A14312,HUH,07:48 ,16:33 ,HUH,08:15,EMU
A14313,HUH,22:10 ,06:10 ,HUH,07:30,ET8
A14314,HUH,22:10 ,06:10 ,HUH,07:30,ET3
A14315,HUH,22:10 ,06:10 ,HUH,07:30,ET1
A14316,LOW,07:15 ,15:15 ,LOW,07:30,RS
A14317,HUH,22:10 ,06:10 ,HUH,07:30,ET11
A14318,HUH,22:10 ,06:10 ,HUH,07:30,ET10
A14319,HUH,22:10 ,06:10 ,HUH,07:30,ET2
A14320,LOW,14:30 ,22:30 ,HUH,07:30,RS
A14321,HUH,22:10 ,06:10 ,HUH,07:30,ET9
A14322,HUH,22:10 ,06:10 ,HUH,07:30,ET7
A14323,HUH,22:10 ,06:10 ,HUH,07:30,ET4
A14501,SHS,04:55 ,11:25 ,HUH,06:00,LG2N(S)/LOW Step1
A14502,SHS,04:55 ,11:25 ,HUH,06:00,LOWP3 Run21
A14503,SHT,04:05 ,10:35 ,HTD,06:00,FOTP4 Run11
A14504,HUH,13:53 ,22:23 ,HUH,08:00,SG2S STOP
A14505,HUH,14:21 ,21:06 ,HUH,06:15,EMU
A14506,HUH,10:58 ,19:28 ,HUH,08:00,EMU
A14507,SHS,06:00 ,14:30 ,HUH,08:00,LG1S Run16 / HUH BY
A14508,SHT,04:05 ,11:35 ,HUH,07:00,SHTP4 Run9
A14509,HUH,16:17 ,00:17 ,HUH,07:30,LG2N STOP
A14510,HUH,18:03 ,01:48 ,HUH,07:15,SHSP2 STOP
A14511,HUH,14:35 ,21:05 ,HUH,06:00,LG1S STOP
A14512,SHS,04:55 ,12:55 ,HUH,07:30,SG2S Run15
A14513,SHS,04:55 ,12:40 ,HUH,07:15,LMC Step1
A14514,SHT,04:05 ,10:35 ,HTD,06:00,LOW Step2
A14515,HUH,13:11 ,21:11 ,HUH,07:30,LG1N STOP
A14516,HUH,11:40 ,19:55 ,HUH,07:45,LOW OFF
A14517,HUH,07:09 ,14:24 ,HUH,06:45,EMU
A14518,SHT,04:05 ,12:05 ,HUH,07:30,SB
A14519,SHS,04:55 ,13:25 ,HUH,08:00,LMCP2 Run23
A14520,HUH,17:53 ,01:23 ,HUH,07:00,LMCP1 STOP
A14521,HUH,15:24 ,21:54 ,HUH,06:00,EMU
A14522,HUH,13:25 ,21:40 ,HUH,07:45,EMU
A14523,HUH,07:26 ,14:11 ,HUH,06:15,EMU
A14524,SHS,04:55 ,12:55 ,HUH,07:30,LOWP1 Run20
A14525,SHT,04:05 ,10:35 ,HUH,06:00,FOTP1 Run10
A14526,HUH,18:00 ,01:45 ,HUH,07:15,LOWP3 STOP
A14527,HUH,16:00 ,00:30 ,HUH,08:00,SB
A14528,HTD,06:05 ,12:35 ,HUH,06:00,Run28
A14529,SHT,04:05 ,10:35 ,HUH,06:00,RACP1 Run12
A14530,HUH,17:21 ,01:36 ,HTD,07:45,EMU
A14531,LOW,15:32 ,00:17 ,HUH,08:15,LG2S Run16 (2)
A14532,HTD,16:03 ,00:48 ,HUH,08:15,Run1a / SHS OFF
A14533,HUH,07:36 ,14:06 ,HUH,06:00,EMU
A14534,SHS,04:55 ,11:25 ,HUH,06:00,LG2N(N) Run19
A14535,SHT,04:05 ,10:35 ,HUH,06:00,SHTP1 Run6 / LOW OFF
A14536,LOW,15:12 ,21:42 ,HUH,06:00,LG2N Run22 (2) / LG2S STOP
A14537,HUH,16:56 ,01:26 ,HUH,08:00,LMCP2 STOP
A14538,HUH,16:22 ,00:22 ,HUH,07:30,EMU
A14539,SHS,04:55 ,11:25 ,HUH,06:00,LG1N Run18 / LG1N STOP
A14540,HTD,05:22 ,13:52 ,HUH,08:00,Run26
A14541,HUH,17:04 ,01:34 ,HUH,08:00,FOTP4  STOP
A14542,LOW,15:44 ,00:29 ,HUH,08:15,LG1N Run2 (2) / TAPP1 STOP
A14543,HUH,13:00 ,21:00 ,HUH,07:30,SB
A14544,SHS,04:55 ,12:40 ,HUH,07:15,SHSP2 Run14
A14545,SHT,04:05 ,10:35 ,HUH,06:00,TAPP1 Run13 / LG1S STOP
A14546,HTD,15:51 ,00:36 ,HUH,08:15,Run14 (2)
A14547,HTD,16:11 ,00:56 ,HUH,08:15,Run28 (2) / RACP1 STOP
A14548,LOW,15:55 ,23:40 ,HUH,07:15,LG1S Run23 (2) / LMC OFF
A14549,SHS,04:55 ,11:25 ,HUH,06:00,LMCP1 Run22
A14550,SHS,04:55 ,12:25 ,HUH,07:00,LG2S Run17
A14551,HUH,18:38 ,01:38 ,HUH,06:30,LOWP1  STOP
A14552,HTD,16:30 ,00:45 ,HTD,07:45,HB
A14553,HUH,13:39 ,21:54 ,HUH,07:45,EMU + PM BY
A14554,HUH,08:20 ,14:50 ,HUH,06:00,EMU
A14555,HUH,07:51 ,16:06 ,HUH,07:45,EMU / LWM BY
A14556,HTD,06:13 ,14:43 ,HTD,08:00,Run30 / HTD BY
A14557,HUH,15:59 ,00:44 ,HUH,08:15,SHTP4S STOP
