Name,Book On Location,Book On Time,Book Off Time,Book Off Location,Duration,Remarks
A75101,HUH,07:29,16:14,HUH,8:15,EMU
A75102,HUH,05:16,12:01,HTD,6:15,MKKP1S T3/HTD BY
A75103,HTD,05:05,13:05,HUH,7:30,T24
A75104,HUH,12:14,20:14,HUH,7:30,EMU
A75105,HUH,11:00,19:45,HUH,8:15,KB
A75106,HUH,10:51,17:51,HUH,6:30,EMU
A75107,HUH,05:17,12:47,HUH,7:00,EMU
A75108,HUH,08:05,16:50,HUH,8:15,EMU
A75109,HUH,17:27,01:27,HUH,7:30,FOTP1  STOP
A75110,HUH,18:52,01:37,HUH,6:15,SHTP3 STOP
A75111,HUH,15:13,22:43,HUH,7:00,EMU
A75112,HUH,05:22,12:22,HUH,6:30,EMU
A75113,SHT,04:05,10:50,HTD,6:15,SHTP4S T8
A75114,HUH,13:07,20:07,HUH,6:30,EMU/PM BY
A75115,HUH,11:49,18:49,HUH,6:30,EMU
A75116,HUH,11:16,18:31,HUH,6:45,EMU
A75117,,GH,,,,
A75118,HUH,05:44,13:14,HUH,7:00,EMU
A75119,HUH,04:28,10:58,HUH,6:00,MKKP3 T5
A75120,HUH,17:42,00:52,HUH,6:30,MKKP1S STOP
A75121,HUH,18:16,01:16,HUH,6:30,SHTP4  STOP
A75122,HUH,15:37,00:22,HUH,8:15,SHTP4S  STOP
A75123,HUH,07:20,16:05,HUH,8:15,EMU
A75124,HUH,07:17,15:02,HUH,7:15,EMU
A75125,HTD,05:11,12:41,HUH,7:00,T25
A75126,HUH,13:04,21:49,HUH,8:15,EMU
A75127,HUH,11:20,19:05,HUH,7:15,EMU
A75128,HUH,06:41,15:26,HUH,8:15,EMU
A75129,SHT,04:05,10:35,HUH,6:00,SHTP3 T7
A75130,HUH,18:38,01:53,HUH,6:45,SHTP3  STOP
A75131,HUH,17:15,01:30,HUH,7:45,KB
A75132,HUH,14:10,21:40,HUH,7:00,EMU
A75133,,GH,,,,
A75134,HTD,05:00,13:30,HTD,8:00,HB/Hot Standby
A75135,HUH,04:50,12:35,HUH,7:15,HUHP1 T1
A75136,HUH,18:20,01:20,HUH,6:30,HUHP1  STOP
A75137,HUH,16:10,00:55,HUH,8:15,EMU
A75138,HUH,17:13,00:58,HUH,7:15,RACP1  STOP
A75139,HUH,07:01,14:31,HUH,7:00,EMU
A75140,HUH,04:28,12:28,HUH,7:30,KB
A75141,HUH,11:27,18:42,HUH,6:45,EMU
A75142,HUH,16:34,01:19,HUH,8:15,MKKP1  STOP
A75143,HUH,18:31,01:16,HUH,6:15,EMU
A75144,HUH,07:53,15:23,HUH,7:00,EMU
A75145,HUH,10:09,17:24,HUH,6:45,EMU
A75146,HUH,12:26,20:26,HUH,7:30,EMU
A75147,HUH,12:12,19:27,HUH,6:45,EMU
A75148,HUH,11:08,18:08,HUH,6:30,EMU
A75149,HUH,04:50,12:05,HUH,6:45,HUHP4 T2/AM BY
A75150,HUH,04:28,10:58,HUH,6:00,MKKP1 T4
A75151,HUH,10:13,17:43,HUH,7:00,EMU
A75152,HUH,18:26,01:42,HUH,6:45,HUHP4  STOP
A75153,HUH,18:23,01:53,HUH,7:00,SHTP1  STOP
A75154,HUH,16:17,01:02,HUH,8:15,EMU
A75155,HUH,08:20,17:05,HUH,8:15,EMU
A75156,HTD,08:04,16:49,HUH,8:15,T19a
A75157,HUH,13:11,21:26,HUH,7:45,EMU
A75158,HUH,12:22,20:07,HUH,7:15,EMU
A75159,HUH,11:04,18:19,HUH,6:45,EMU
A75301,HUH,08:00,14:30,HUH,6:00,P702/P705/P712
A75302,LOW,07:15,15:15,LOW,7:30,RS
A75303,HUH,23:30,06:30,HUH,7:00,ET12
A75304,HUH,22:10,06:10,HUH,8:00,ET6
A75305,HUH,22:10,06:10,HUH,8:00,ET5
A75306,HUH,10:15,17:15,HUH,6:30,P708/P713
A75307,HUH,13:28,21:28,HUH,7:30,EMU
A75308,HUH,14:00,22:15,HUH,7:45,P714/P717/P720
A75309,LOW,14:30,22:30,LOW,7:30,RS/MTT
A75310,HUH,13:30,21:45,HUH,7:45,P711/P718/P721
A75311,HUH,08:00,15:00,HUH,6:30,P703/P704/P707
A75312,HUH,06:53,15:38,HUH,8:15,EMU OT
A75313,HUH,22:10,06:10,HUH,8:00,ET8
A75314,HUH,22:10,06:10,HUH,8:00,ET3
A75315,HUH,22:10,06:10,HUH,8:00,ET1
A75316,LOW,07:15,15:15,LOW,7:30,RS
A75317,HUH,22:10,06:10,HUH,8:00,ET11
A75318,HUH,22:10,06:10,HUH,8:00,ET10
A75319,HUH,22:10,06:10,HUH,8:00,ET2
A75320,LOW,14:30,22:30,HUH,7:30,RS/MTT
A75321,HUH,22:10,06:10,HUH,8:00,ET9
A75322,HUH,22:10,06:10,HUH,8:00,ET7
A75323,HUH,22:10,06:10,HUH,8:00,ET4
A75501,HTD,06:27,14:27,HUH,7:30,T28
A75502,SHS,04:55,11:40,HUH,6:15,LOWP1 T20
A75503,SHT,04:05,10:35,HUH,6:00,FOTP4 T11
A75504,HUH,15:29,00:14,HUH,8:15,LG2S STOP
A75505,HUH,13:35,22:20,HUH,8:15,EMU
A75506,HUH,12:29,20:59,HUH,8:00,EMU
A75507,SHS,04:55,12:40,HUH,7:15,LG2N T18
A75508,SHT,04:05,11:20,HUH,6:45,SHTP4 T9
A75509,HUH,17:54,01:55,HTD,7:30,EMU
A75510,HUH,17:02,01:32,HUH,8:00,SHSP2 STOP
A75511,HUH,15:06,23:51,HUH,8:15,SG3S STOP
A75512,SHS,04:55,12:55,HUH,7:30,LG2N T19
A75513,SHS,04:55,12:10,HUH,6:45,LMC PICK T4
A75514,SHT,04:05,12:05,HUH,7:30,LOW P3 PICK T13/BY
