Name,Book On Lcation,Book On Time,Book Off Time,Book Off Location,Duration,Remarks
B13101,HUH,06:41 AM,02:56 PM,HUH,7:45,TAP PICK T32
B13102,HUH,05:16 AM,01:16 PM,HUH,7:30,MKKP1S T3
B13103,HTD,05:05 AM,01:05 PM,HUH,7:30,T24
B13104,HUH,01:44 PM,09:14 PM,HUH,7:00,EMU
B13105,HUH,11:00 AM,07:45 PM,HUH,8:15,KB
B13106,HUH,10:22 AM,05:37 PM,HUH,6:45,EMU
B13107,HUH,05:22 AM,12:52 PM,HUH,7:00,EMU
B13108,HUH,08:05 AM,04:50 PM,HUH,8:15,EMU
B13109,HUH,05:34 PM,01:19 AM,HUH,7:15,FOTP1 STOP
B13110,HUH,06:00 PM,01:45 AM,HUH,7:15,SHTP3 STOP
B13111,HUH,02:11 PM,09:41 PM,HTD,7:00,EMU
B13112,HUH,05:17 AM,12:32 PM,HUH,6:45,EMU
B13113,SHT,04:05 AM,10:35 AM,HUH,6:00,SHTP4S T8
B13114,HUH,12:54 PM,08:24 PM,HUH,7:00,EMU
B13115,HUH,01:17 PM,09:32 PM,HUH,7:45,EMU
B13116,HUH,12:22 PM,07:22 PM,HUH,6:30,EMU
B13117,HUH,07:34 AM,04:19 PM,HUH,8:15,EMU
B13118,HUH,05:41 AM,01:11 PM,HUH,7:00,EMU
B13119,HUH,04:28 AM,10:58 AM,HUH,6:00,MKKP3 T5
B13120,HUH,04:31 PM,01:16 AM,HUH,8:15,HUHP1 STOP
B13121,HUH,06:40 PM,01:40 AM,HUH,6:30,MKKP3 STOP
B13122,HTD,04:02 PM,12:17 AM,HUH,7:45,T25a
B13123,HTD,05:53 AM,01:38 PM,HTD,7:15,T29
B13124,HUH,06:53 AM,02:23 PM,HUH,7:00,EMU
B13125,HTD,05:11 AM,11:41 AM,HUH,6:00,T25
B13126,HUH,01:12 PM,09:57 PM,HUH,8:15,EMU
B13127,HUH,10:50 AM,06:05 PM,HUH,6:45,EMU
B13128,HUH,06:44 AM,02:14 PM,HUH,7:00,EMU
B13129,SHT,04:05 AM,10:35 AM,HTD,6:00,SHTP3 T7
B13130,HUH,06:44 PM,01:14 AM,HUH,6:00,MKKP1S STOP
B13131,HUH,05:15 PM,01:30 AM,HUH,7:45,KB
B13132,HUH,02:46 PM,11:31 PM,HUH,8:15,EMU
B13133,HUH,07:17 AM,02:32 PM,HUH,6:45,EMU
B13134,HTD,05:00 AM,01:30 PM,HTD,8:00,HB/Hot Standby
B13135,HUH,04:50 AM,12:50 PM,HUH,7:30,HUHP1 T1
B13136,HUH,05:42 PM,01:42 AM,HUH,7:30,MKKP1 STOP
B13137,HTD,05:03 PM,01:03 AM,HUH,7:30,T31a
B13138,HUH,04:28 PM,01:13 AM,HUH,8:15,SHTP4S STOP
B13139,HUH,05:56 AM,01:26 PM,HUH,7:00,EMU
B13140,HUH,04:28 AM,12:28 PM,HUH,7:30,KB
B13141,HUH,06:34 AM,01:49 PM,HUH,6:45,EMU
B13142,HUH,04:37 PM,01:22 AM,HUH,8:15,SHTP4 STOP
B13143,HUH,06:19 PM,01:19 AM,HUH,6:30,EMU
B13144,HUH,06:37 AM,03:07 PM,HUH,8:00,EMU
B13145,HUH,07:58 AM,04:43 PM,HUH,8:15,EMU
B13146,HUH,01:01 PM,08:01 PM,HUH,6:30,EMU
B13147,HUH,12:41 PM,07:41 PM,HUH,6:30,EMU
