番號,上班地點,上班時間,下班時間,下班地點,工時,備註
B15101,HUH,07:33 ,14:33,HUH,06:30,EMU
B15102,HUH,05:16 ,13:31,HUH,07:45,MKKP1S T3
B15103,HTD,05:05 ,12:05,HUH,06:30,T24
B15104,HUH,14:00 ,20:30,HUH,06:00,EMU
B15105,HUH,11:00 ,19:45,HUH,08:15,KB
B15106,HUH,10:44 ,17:44,HUH,06:30,EMU
B15107,HUH,05:22 ,13:22,HUH,07:30,EMU
B15108,HUH,08:11 ,15:41,HUH,07:00,EMU
B15109,HUH,17:46 ,01:31,HUH,07:15,FOTP1  STOP
B15110,HUH,17:35 ,01:50,HUH,07:45,SHTP3 STOP
B15111,HUH,14:07 ,22:22,HTD,07:45,EMU
B15112,HUH,05:17 ,11:47,HUH,06:00,EMU
B15113,SHT,04:05 ,11:35,HUH,07:00,SHTP4S T8
B15114,HUH,12:36 ,19:06,HUH,06:00,EMU
B15115,HUH,13:04 ,21:19,HUH,07:45,EMU
B15116,HUH,12:22 ,20:52,HUH,08:00,EMU
B15117,HUH,08:07 ,14:37,HUH,06:00,EMU
B15118,HUH,05:26 ,11:56,HTD,06:00,EMU
B15119,HUH,04:28 ,11:43,HUH,06:45,MKKP3 T5
B15120,HUH,15:59 ,23:44,HUH,07:15,EMU
B15121,HUH,16:17 ,23:47,HUH,07:00,SHTP4  STOP
B15122,HUH,14:49 ,23:04,HUH,07:45,SHTP4S  STOP
B15123,HUH,07:14 ,13:44,HUH,06:00,EMU
B15124,HUH,06:55 ,15:25,HUH,08:00,EMU
B15125,HTD,05:11 ,12:26,HUH,06:45,T25
B15126,HUH,13:18 ,21:48,HUH,08:00,EMU
B15127,HUH,12:01 ,20:31,HUH,08:00,EMU
B15128,HUH,06:52 ,15:22,HUH,08:00,EMU
B15129,SHT,04:05 ,11:05,HUH,06:30,SHTP3 T7
B15130,HUH,18:55 ,01:55,HUH,06:30,MKKP3 STOP
B15131,HUH,17:15 ,01:30,HUH,07:45,KB
B15132,HUH,15:17 ,21:47,HUH,06:00,EMU
B15133,HUH,06:41 ,15:11,HUH,08:00,EMU
B15134,HTD,05:00 ,13:30,HTD,08:00,HB/Hot Standby
B15135,HUH,04:50 ,11:20,HUH,06:00,HUHP1 T1
B15136,HUH,14:28 ,22:28,HUH,07:30,MKKP1 STOP
B15137,HTD,16:28 ,23:13,HUH,06:15,T12a
B15138,HUH,16:27 ,01:12,HTD,08:15,EMU
B15139,HUH,05:56 ,12:26,HUH,06:00,EMU
B15140,HUH,04:28 ,12:28,HUH,07:30,KB
B15141,HUH,06:34 ,13:04,HTD,06:00,EMU
B15142,HUH,16:48 ,01:18,HUH,08:00,HUHP1 STOP
B15143,HUH,16:34 ,01:19,HUH,08:15,EMU
B15144,HUH,06:15 ,12:45,HUH,06:00,EMU
B15145,HUH,08:01 ,16:16,HUH,07:45,EMU
B15146,HUH,14:14 ,22:29,HUH,07:45,EMU
B15147,HUH,12:50 ,21:20,HUH,08:00,EMU
B15148,HUH,11:26 ,19:41,HUH,07:45,EMU
B15149,HUH,04:50 ,11:20,HUH,06:00,HUHP4 T2
B15150,HUH,04:28 ,10:58,HUH,06:00,MKKP1 T4
B15151,HTD,05:26 ,11:56,HUH,06:00,T27 + BY
B15152,HUH,18:20 ,01:50,HUH,07:00,HUHP4  STOP
B15153,HUH,19:12 ,01:57,HUH,06:15,SHTP1  STOP
B15154,HUH,16:41 ,01:11,HUH,08:00,EMU
B15155,HUH,06:37 ,15:07,HUH,08:00,EMU
B15156,HTD,06:36 ,13:06,HUH,06:00,T29
B15157,HUH,15:10 ,21:40,HUH,06:00,MKKP1S STOP
B15158,HUH,15:45 ,22:15,HTD,06:00,EMU
B15159,HTD,12:00 ,19:30,HUH,07:00,HTD BY / T16a
B15301,HUH,08:00 ,14:30,HUH,06:00,P702/P705/P712
B15302,LOW,07:15 ,15:15,LOW,07:30,RS
B15303,HUH,22:10 ,06:10,HUH,07:30,ET12
B15304,HUH,22:10 ,06:10,HUH,07:30,ET6
B15305,HUH,22:10 ,06:10,HUH,07:30,ET5
B15306,HUH,10:15 ,17:15,HUH,06:30,P708/P713
B15307,HUH,13:32 ,22:17,HUH,08:15,EMU
B15308,HUH,13:30 ,22:15,HUH,08:15,P714/P717/P720
B15309,LOW,14:30 ,22:30,LOW,07:30,RS/MTT
B15310,HUH,13:30 ,21:45,HUH,07:45,P711/P718/P721
B15311,HUH,08:00 ,15:00,HUH,06:30,P703/P704/P707
B15312,HUH,07:48 ,16:33,HUH,08:15,EMU
B15313,HUH,22:10 ,06:10,HUH,07:30,ET8
B15314,HUH,22:10 ,06:10,HUH,07:30,ET3
B15315,HUH,22:10 ,06:10,HUH,07:30,ET1
B15316,LOW,07:15 ,15:15,LOW,07:30,RS
B15317,HUH,22:10 ,06:10,HUH,07:30,ET11
B15318,HUH,22:10 ,06:10,HUH,07:30,ET10
B15319,HUH,22:10 ,06:10,HUH,07:30,ET2
B15320,LOW,14:30 ,22:30,HUH,07:30,RS/MTT
B15321,HUH,22:10 ,06:10,HUH,07:30,ET9
B15322,HUH,22:10 ,06:10,HUH,07:30,ET7
B15323,HUH,22:10 ,06:10,HUH,07:30,ET4
B15501,SHS,04:55 ,11:25,HUH,06:00,LOW Step2
B15502,SHS,04:55 ,11:25,HUH,06:00,LOWP1 T20 + BY
B15503,SHT,04:05 ,10:35,HUH,06:00,FOTP4 T11
