Name,Book On Location,Book On Time,Book Off Time,Book Off Location,Duration,Remarks
B71101,HUH,07:29,16:14,HUH,8:15,EMU
B71102,HUH,05:16,12:16,HTD,6:30,MKKP1S T3/HTD BY
B71103,HTD,05:05,13:05,HUH,7:30,T24
B71104,HUH,12:14,19:59,HUH,7:15,EMU
B71105,HUH,11:00,19:45,HUH,8:15,KB
B71106,HUH,10:51,17:51,HUH,6:30,EMU
B71107,HUH,05:17,12:47,HUH,7:00,EMU
B71108,HUH,08:05,16:50,HUH,8:15,EMU
B71109,HUH,16:38,01:23,HUH,8:15,FOTP1  STOP
B71110,HUH,18:52,01:37,HUH,6:15,SHTP3 STOP
B71111,HUH,15:13,22:43,HUH,7:00,EMU
B71112,HUH,05:22,12:22,HUH,6:30,EMU
B71113,SHT,04:05,10:50,HTD,6:15,SHTP4S T8
B71114,HUH,12:49,20:04,HUH,6:45,EMU
B71115,HUH,11:49,18:49,HUH,6:30,EMU
B71116,HUH,11:16,19:46,HUH,8:00,EMU
B71117,,GH,,,,
B71118,HUH,05:44,13:14,HUH,7:00,EMU
B71119,HUH,04:28,10:58,HUH,6:00,MKKP3 T5
B71120,HUH,17:42,00:52,HUH,6:30,MKKP1S STOP
B71121,HUH,18:16,01:16,HUH,6:30,SHTP4  STOP
B71122,HUH,15:37,00:22,HUH,8:15,SHTP4S  STOP
B71123,HUH,07:20,16:05,HUH,8:15,EMU
B71124,HUH,07:17,15:02,HUH,7:15,EMU
B71125,HTD,05:11,12:41,HUH,7:00,T25
B71126,HUH,13:04,21:49,HUH,8:15,EMU
B71127,HUH,12:41,21:11,HTD,8:00,EMU
B71128,HUH,06:41,15:26,HUH,8:15,EMU
B71129,SHT,04:05,10:35,HUH,6:00,SHTP3 T7
B71130,HUH,18:38,01:53,HUH,6:45,SHTP3  STOP
B71131,HUH,17:15,01:30,HUH,7:45,KB
B71132,HUH,14:10,21:40,HUH,7:00,EMU
B71133,,GH,,,,
B71134,HTD,05:00,13:30,HTD,8:00,HB/Hot Standby
B71135,HUH,04:50,12:35,HUH,7:15,HUHP1 T1
B71136,HUH,18:20,01:20,HUH,6:30,HUHP1  STOP
B71137,HUH,16:10,00:55,HUH,8:15,EMU
B71138,HUH,17:13,00:58,HUH,7:15,RACP1  STOP
B71139,HUH,07:01,14:31,HUH,7:00,EMU
B71140,HUH,04:28,12:28,HUH,7:30,KB
B71141,HUH,11:27,18:42,HUH,6:45,EMU
B71142,HUH,16:34,01:19,HUH,8:15,MKKP1  STOP
B71143,HTD,16:47,01:17,HUH,8:00,T29
B71144,HUH,07:53,15:23,HUH,7:00,EMU
B71145,HUH,10:09,17:24,HUH,6:45,EMU
B71146,HUH,12:26,20:26,HUH,7:30,EMU
B71147,HUH,12:12,20:42,HTD,8:00,EMU
B71148,HUH,11:08,18:08,HUH,6:30,EMU
B71149,HUH,04:50,12:05,HUH,6:45,HUHP4 T2/AM BY
B71150,HUH,04:28,10:58,HUH,6:00,MKKP1 T4
B71151,HUH,10:13,17:43,HUH,7:00,EMU
B71152,HUH,18:27,01:42,HUH,6:45,HUHP4  STOP
B71153,HUH,18:23,01:53,HUH,7:00,SHTP1  STOP
B71154,HUH,16:17,01:02,HUH,8:15,EMU
B71155,HUH,08:20,17:05,HUH,8:15,EMU
B71156,HTD,08:04,16:49,HUH,8:15,T19a
B71157,HUH,13:11,21:26,HUH,7:45,EMU
B71158,HUH,12:22,20:07,HUH,7:15,EMU
B71159,HUH,11:04,18:19,HUH,6:45,EMU
B71301,HUH,08:00,14:30,HUH,6:00,P702/P705/P712
B71302,LOW,07:15,15:15,LOW,7:30,RS
B71303,HUH,22:10,06:10,HUH,8:00,ET12
B71304,HUH,22:10,06:10,HUH,8:00,ET6
B71305,HUH,22:10,06:10,HUH,8:00,ET5
B71306,HUH,10:15,17:15,HUH,6:30,P708/P713
B71307,HUH,13:28,21:28,HUH,7:30,EMU
B71308,HUH,14:00,22:15,HUH,7:45,P714/P717/P720
B71309,LOW,14:30,22:30,LOW,7:30,RS/MTT
B71310,HUH,13:30,21:45,HUH,7:45,P711/P718/P721
B71311,HUH,08:00,15:00,HUH,6:30,P703/P704/P707
B71312,HUH,06:53,15:38,HUH,8:15,EMU OT
B71313,HUH,22:10,06:10,HUH,8:00,ET8
B71314,HUH,22:10,06:10,HUH,8:00,ET3
B71315,HUH,22:10,06:10,HUH,8:00,ET1
B71316,LOW,07:15,15:15,LOW,7:30,RS
B71317,HUH,22:10,06:10,HUH,8:00,ET11
B71318,HUH,22:10,06:10,HUH,8:00,ET10
B71319,HUH,22:10,06:10,HUH,8:00,ET2
B71320,LOW,14:30,22:30,HUH,7:30,RS/MTT
B71321,HUH,22:10,06:10,HUH,8:00,ET9
B71322,HUH,22:10,06:10,HUH,8:00,ET7
B71323,HUH,22:10,06:10,HUH,8:00,ET4
B71501,HTD,06:27,14:27,HUH,7:30,T28
B71502,SHS,04:55,11:40,HUH,6:15,LOWP1 T20
B71503,SHT,04:05,10:35,HUH,6:00,FOTP4 T11
B71504,HUH,15:29,00:14,HUH,8:15,LG2S STOP
B71505,HUH,13:35,22:20,HUH,8:15,EMU
B71506,HUH,12:30,21:00,HUH,8:00,EMU
B71507,SHS,04:55,12:40,HUH,7:15,LG2N T18
B71508,SHT,04:05,11:20,HUH,6:45,SHTP4 T9
B71509,HUH,17:54,01:54,HTD,7:30,EMU
B71510,HUH,17:02,01:32,HUH,8:00,SHSP2 STOP
B71511,HUH,15:06,23:36,HUH,8:00,SG2S STOP
B71512,SHS,04:55,12:55,HUH,7:30,LG2N T19
B71513,SHS,04:55,12:10,HUH,6:45,LMC PICK T4
B71514,SHT,04:05,12:05,HUH,7:30,LOW P3 PICK T13/BY
B71515,HUH,12:54,21:39,HUH,8:15,EMU
B71516,HUH,13:00,21:15,HUH,7:45,EMU
B71517,,GH,,,,
B71518,SHT,04:05,12:05,HUH,7:30,SB
B71519,SHS,04:55,11:55,HUH,6:30,LMCP2 T23
B71520,HUH,16:48,01:33,HUH,8:15,LMCP1 STOP
B71521,HUH,16:24,00:09,HTD,7:15,LG2N STOP
B71522,HUH,13:32,22:17,HUH,8:15,LMC OFF
B71523,HUH,07:05,15:50,HUH,8:15,EMU
B71524,SHS,04:55,13:25,HUH,8:00,LOWP3 T21
B71525,SHT,04:05,11:35,HUH,7:00,FOTP1 T10
B71526,HUH,17:17,01:32,HTD,7:45,LOWP3 STOP
B71527,HUH,16:00,00:30,HUH,8:00,SB
B71528,HTD,06:04,13:49,HUH,7:15,T27
B71529,SHT,04:05,10:50,HUH,6:15,RACP1 T12
B71530,HUH,18:48,01:33,HTD,6:15,EMU
B71531,HUH,16:45,01:30,HUH,8:15,LG1S STOP
B71532,HUH,16:14,00:59,HUH,8:15,SHS OFF
B71533,,GH,,,,
B71534,SHS,04:55,12:55,HUH,7:30,SG2S T15
B71535,SHT,04:05,10:35,HUH,6:00,SHTP1 T6
B71536,HUH,17:33,01:48,HTD,7:45,EMU
B71537,HUH,16:31,01:16,HUH,8:15,LMCP2 STOP
B71538,HUH,14:03,22:48,HUH,8:15,EMU+ BY+EMU
B71539,HTD,04:55,12:40,HUH,6:45,LG2S T17
B71540,HTD,05:22,13:52,HUH,8:00,T26
B71541,HUH,17:36,01:36,HUH,7:30,FOTP4  STOP
B71542,HUH,15:54,00:09,HUH,7:45,TAPP1  STOP
B71543,HUH,13:00,21:00,HUH,7:30,SB
B71544,SHS,04:55,13:10,HUH,7:45,SHSP2 T14
B71545,SHT,04:05,11:50,HUH,7:15,TAPP1 T13
B71546,HUH,18:34,01:19,HUH,6:15,LG1N STOP
B71547,HUH,17:47,01:32,HTD,7:15,EMU
B71548,HUH,16:52,00:52,HTD,7:30,EMU
B71549,SHS,04:55,13:10,HUH,7:45,LMCP1 T22
B71550,SHS,04:55,11:40,HUH,6:15,LG1S T16
B71551,HUH,17:09,01:39,HUH,8:00,LOWP1  STOP
B71552,HTD,16:30,00:45,HTD,7:45,HB
B71553,HUH,13:52,22:07,HUH,7:45,EMU/PM BY
B71554,HUH,07:56,16:41,HUH,8:15,EMU
B71555,HUH,11:31,19:01,HUH,7:00,EMU
B71556,HUH,10:58,18:13,HUH,6:45,EMU/RAC BY
