番號,上班地點,上班時間,下班時間,下班地點,工時,備註,,,,
C75101,HUH,07:00 ,15:00 ,HUH,07:30,MKKP1S Spare,,,,
C75102,HUH,05:52 ,13:37 ,HUH,07:15,EMU,,,,
C75103,HTD,05:05 ,11:35 ,HUH,06:00,Run26,,,,
C75104,HUH,12:11 ,18:41 ,HUH,06:00,EMU,,,,
C75105,HUH,11:00 ,19:45 ,HUH,08:15,KB/M,,,,
C75106,,,,,,Duty Cover,,,,
C75107,HUH,05:23 ,12:53 ,HUH,07:00,EMU,,,,
C75108,HUH,08:16 ,16:16 ,HUH,07:30,EMU,,,,
C75109,HUH,18:47 ,01:32 ,HUH,06:15,(FOTP1 停放),,,,
C75110,HUH,19:08 ,01:38 ,HUH,06:00,(SHTP3 停放),,,,
C75111,HUH,16:16 ,22:46 ,HUH,06:00,EMU,,,,
C75112,HUH,05:18 ,11:48 ,HUH,06:00,EMU,,,,
C75113,SHT,04:05 ,10:35 ,HUH,06:00,SHTP3 Run7,,,,
C75114,HUH,12:44 ,19:14 ,HUH,06:00,EMU,,,,
C75115,HUH,13:31 ,20:46 ,HUH,06:45,EMU,,,,
C75116,HUH,12:24 ,18:54 ,HUH,06:00,EMU,,,,
C75117,,GH,,,,,,,,
C75118,HUH,05:27 ,11:57 ,HUH,06:00,EMU,,,,
C75119,HUH,04:28 ,10:58 ,HUH,06:00,MKKP3 Run5,,,,
C75120,HUH,15:29 ,23:44 ,HUH,07:45,EMU,,,,
C75121,HUH,17:11 ,01:11 ,HUH,07:30,(SHTP4 停放),,,,
C75122,HUH,19:11 ,01:41 ,HUH,06:00,(SHTP4S 停放),,,,
C75123,HUH,09:58 ,16:28 ,HUH,06:00,EMU,,,,
C75124,HUH,06:53 ,14:23 ,HUH,07:00,EMU,,,,
C75125,HTD,05:17 ,11:47 ,HUH,06:00,Run27,,,,
C75126,HUH,13:48 ,21:18 ,HUH,07:00,EMU,,,,
C75127,,,,,,Duty Cover,,,,
C75128,HUH,07:16 ,13:46 ,HUH,06:00,EMU,,,,
C75129,SHT,04:05 ,10:35 ,HUH,06:00,SHTP4S Run8,,,,
C75130,HUH,17:52 ,01:52 ,HUH,07:30,(MKKP3 停放),,,,
C75131,HUH,17:15 ,01:30 ,HUH,07:45,KB/L,,,,
C75132,HUH,16:50 ,01:05 ,HUH,0.322916667,EMU,,,,
C75133,,GH,,,,,,,,
C75134,HTD,05:00 ,13:30 ,HTD,08:00,HB/E,,,,
C75135,HUH,04:50 ,11:20 ,HUH,06:00,HUHP1 Run1,,,,
C75136,HUH,15:15 ,23:00 ,HUH,07:15,(MKKP1 停放),,,,
C75137,HUH,16:36 ,00:51 ,HUH,07:45,EMU,,,,
C75138,HUH,16:29 ,00:59 ,HTD,08:00,EMU,,,,
C75139,HUH,06:05 ,14:20 ,HUH,07:45,EMU,,,,
C75140,HUH,04:28 ,12:28 ,HUH,07:30,KB/E,,,,
C75141,HUH,07:48 ,16:03 ,HUH,07:45,EMU,,,,
C75142,HUH,19:13 ,01:43 ,HUH,06:00,(HUHP1 停放),,,,
C75143,HUH,17:25 ,01:10 ,HUH,07:15,EMU,,,,
C75144,,,,,,Duty Cover,,,,
C75145,HUH,07:00 ,15:00 ,HUH,07:30,HUH STANDBY,,,,
C75146,HUH,10:47 ,18:47 ,HUH,07:30,EMU,,,,
C75147,HUH,14:26 ,22:26 ,HUH,07:30,EMU,,,,
C75148,HTD,15:00 ,23:00 ,HUH,07:30,RACP1 & MKK1S BY,,,,
C75149,HUH,04:50 ,11:20 ,HUH,06:00,HUHP4 Run2,,,,
C75150,HUH,04:28 ,11:28 ,HUH,06:30,MKKP1 Run4,,,,
