Name,Book On Location,Book On Time,Book Off Time,Book Off Location,Duration,Remarks
D15101,HUH,06:41,14:56,HUH,7:45,TAP PICK T32
D15102,HUH,05:16,12:46,HUH,7:00,MKKP1S T3
D15103,HTD,05:05,13:05,HUH,7:30,T24
D15104,HUH,13:44,20:59,HUH,6:45,EMU
D15105,HUH,11:00,19:45,HUH,8:15,KB
D15106,HUH,10:28,17:28,HUH,6:30,EMU
D15107,HUH,05:22,12:37,HUH,6:45,EMU
D15108,HUH,08:00,16:45,HUH,8:15,EMU
D15109,HUH,17:23,01:23,HUH,7:30,FOTP1 STOP
D15110,HUH,17:59,01:44,HUH,7:15,SHTP3 STOP
D15111,HUH,14:11,22:26,HTD,7:45,EMU
D15112,HUH,05:17,12:47,HUH,7:00,EMU
D15113,SHT,04:05,10:50,HUH,6:15,SHTP4S T8
D15114,HUH,12:35,20:05,HUH,7:00,EMU/PM BY
D15115,HUH,13:17,21:32,HUH,7:45,EMU
D15116,HUH,12:22,19:22,HUH,6:30,EMU
D15117,HUH,07:33,16:18,HUH,8:15,EMU
D15118,HUH,05:41,13:11,HUH,7:00,EMU
D15119,HUH,04:28,10:58,HUH,6:00,MKKP3 T5
D15120,HUH,17:34,01:34,HTD,7:30,EMU
D15121,HUH,17:42,01:27,HUH,7:15,SHTP4 STOP
D15122,HUH,16:16,01:01,HUH,8:15,SHTP4S STOP
D15123,HTD,05:53,13:38,HTD,7:15,T29
D15124,HUH,06:53,14:23,HUH,7:00,EMU
D15125,HTD,05:11,11:41,HTD,6:00,T25
D15126,HUH,13:24,22:09,HUH,8:15,EMU
D15127,HUH,12:02,19:17,HUH,6:45,EMU
D15128,HUH,06:56,13:56,HUH,6:30,EMU
D15129,SHT,04:05,10:35,HTD,6:00,SHTP3 T7
D15130,HUH,18:54,01:54,HUH,6:30,MKKP3 STOP
D15131,HUH,17:15,01:30,HUH,7:45,KB
D15132,HUH,16:02,23:17,HUH,6:45,EMU
D15133,HUH,06:40,15:10,HUH,8:00,EMU
D15134,HTD,05:00,13:30,HTD,8:00,HB/Hot Standby
D15135,HUH,04:50,12:35,HUH,7:15,HUHP1 T1
D15136,HUH,16:28,01:13,HUH,8:15,HUHP1 STOP
D15137,HTD,17:03,01:03,HUH,7:30,T24a
D15138,HUH,16:40,01:10,HTD,8:15,EMU
D15139,HUH,05:56,13:26,HUH,7:00,EMU
D15140,HUH,04:28,12:28,HUH,7:30,KB
D15141,HUH,06:34,14:04,HUH,7:00,EMU
D15142,HUH,17:39,01:24,HUH,7:15,MKKP1 STOP
D15143,HUH,18:26,01:26,HUH,6:30,EMU
D15144,HUH,06:19,15:04,HUH,8:15,EMU
