番號,上班地點,上班時間,下班時間,下班地點,工時,備註
F15101,HUH,07:33 ,16:18 ,HUH,8:15,EMU
F15102,HUH,05:16 ,13:16 ,HUH,7:30,MKKP1S Run3
F15103,HTD,05:05 ,12:05 ,HUH,6:30,Run24
F15104,HUH,14:11 ,21:26 ,HTD,6:45,EMU
F15105,HUH,11:00 ,19:45 ,HUH,8:15,KB
F15106,HUH,10:47 ,17:47 ,HUH,6:30,EMU
F15107,HUH,05:22 ,13:22 ,HUH,7:30,EMU
F15108,HUH,08:11 ,15:41 ,HUH,7:00,EMU
F15109,HUH,17:46 ,01:31 ,HUH,7:15,FOTP1 STOP
F15110,HUH,17:39 ,01:39 ,HUH,7:30,SHTP3 STOP
F15111,HUH,14:05 ,22:50 ,HUH,8:15,EMU
F15112,HUH,05:17 ,11:47 ,HUH,6:00,EMU
F15113,SHT,04:05 ,11:20 ,HUH,6:45,SHTP4S Run8
F15114,HUH,12:48 ,21:03 ,HTD,7:45,EMU
F15115,HUH,13:10 ,21:55 ,HUH,8:15,EMU
F15116,HUH,12:26 ,20:26 ,HUH,7:30,EMU
F15117,HUH,08:07 ,16:52 ,HUH,8:15,EMU
F15118,HUH,05:26 ,13:56 ,HUH,8:00,EMU
F15119,HUH,04:28 ,10:58 ,HUH,6:00,MKKP3 Run5
F15120,HTD,16:13 ,00:58 ,HTD,8:15,Run1(2)
F15121,HUH,16:27 ,23:42 ,HUH,6:45,SHTP4  STOP
F15122,HUH,14:49 ,23:19 ,HUH,8:00,SHTP4S  STOP
F15123,HUH,07:14 ,13:44 ,HUH,6:00,EMU
F15124,HUH,06:55 ,15:25 ,HUH,8:00,EMU
F15125,HTD,05:11 ,12:11 ,HUH,6:30,Run25
F15126,HUH,13:21 ,21:36 ,HUH,7:45,EMU
F15127,HUH,12:04 ,20:34 ,HUH,8:00,EMU
F15128,HUH,06:30 ,15:00 ,HUH,8:00,EMU
F15129,SHT,04:05 ,11:05 ,HUH,6:30,SHTP3 Run7
F15130,HUH,17:56 ,01:41 ,HUH,7:15,MKKP3 STOP
F15131,HUH,17:15 ,01:30 ,HUH,7:45,KB
F15132,HUH,15:22 ,23:22 ,HUH,7:30,EMU
F15133,HUH,06:41 ,15:11 ,HUH,8:00,EMU
F15134,HTD,05:00 ,13:30 ,HTD,8:00,HB/Hot Standby
F15135,HUH,04:50 ,11:20 ,HUH,6:00,HUHP1 Run1
F15136,HUH,16:51 ,01:21 ,HUH,8:00,MKKP1 STOP
F15137,HUH,14:38 ,22:38 ,HUH,7:30,EMU
F15138,HUH,16:17 ,00:32 ,HTD,7:45,EMU
F15139,HUH,05:56 ,14:26 ,HUH,8:00,EMU
F15140,HUH,04:28 ,12:28 ,HUH,7:30,KB
F15141,HUH,06:34 ,15:19 ,HUH,8:15,EMU
F15142,HUH,17:14 ,01:44 ,HUH,8:00,HUHP4 STOP
F15143,HUH,16:34 ,01:04 ,HUH,8:00,EMU
F15144,HUH,06:15 ,14:45 ,HUH,8:00,EMU
F15145,HUH,08:04 ,14:49 ,HUH,6:15,EMU
F15146,HUH,14:33 ,22:33 ,HUH,7:30,EMU
F15147,HUH,12:54 ,21:09 ,HUH,7:45,EMU
F15148,HUH,11:31 ,20:01 ,HUH,8:00,EMU
F15149,HUH,04:50 ,11:20 ,HUH,6:00,HUHP4 Run2
F15150,HUH,04:28 ,10:58 ,HUH,6:00,MKKP1 Run4
F15151,HTD,05:26 ,11:56 ,HUH,6:00,Run27
F15152,HUH,17:46 ,01:46 ,HUH,7:30,HUHP1  STOP
F15153,HUH,18:06 ,01:51 ,HUH,7:15,SHTP1  STOP
F15154,HUH,16:43 ,01:13 ,HUH,8:00,EMU
F15155,HUH,06:37 ,14:52 ,HUH,7:45,EMU
F15156,HTD,06:36 ,13:51 ,HUH,6:45,Run29
F15157,HUH,15:11 ,21:41 ,HUH,6:00,MKKP1S STOP
F15158,HUH,15:50 ,22:20 ,HUH,6:00,EMU
F15159,HTD,12:00 ,19:30 ,HUH,7:00,HTD BY / T12(2)
F15301,HUH,08:00 ,14:30 ,HUH,6:00,P702/P705/P712
F15302,LOW,07:15 ,15:15 ,LOW,7:30,RS
F15303,HUH,22:10 ,06:10 ,HUH,7:30,ET12
F15304,HUH,22:10 ,06:10 ,HUH,7:30,ET6
F15305,HUH,22:10 ,06:10 ,HUH,7:30,ET5
F15306,HUH,10:15 ,17:15 ,HUH,6:30,P708/P713
F15307,HUH,13:32 ,22:02 ,HUH,8:00,EMU
F15308,HUH,13:30 ,22:15 ,HUH,8:15,P714/P717/P720
F15309,LOW,14:30 ,22:30 ,LOW,7:30,RS/MTT
F15310,HUH,13:30 ,21:45 ,HUH,7:45,P711/P718/P721
F15311,HUH,08:00 ,15:00 ,HUH,6:30,P703/P704/P707
F15312,HUH,08:29 ,16:29 ,HUH,7:30,EMU
F15313,HUH,22:10 ,06:10 ,HUH,7:30,ET8
F15314,HUH,22:10 ,06:10 ,HUH,7:30,ET3
F15315,HUH,22:10 ,06:10 ,HUH,7:30,ET1
F15316,LOW,07:15 ,15:15 ,LOW,7:30,RS
F15317,HUH,22:10 ,06:10 ,HUH,7:30,ET11
F15318,HUH,22:10 ,06:10 ,HUH,7:30,ET10
F15319,HUH,22:10 ,06:10 ,HUH,7:30,ET2
F15320,LOW,14:30 ,22:30 ,HUH,7:30,RS/MTT
F15321,HUH,22:10 ,06:10 ,HUH,7:30,ET9
F15322,HUH,22:10 ,06:10 ,HUH,7:30,ET7
F15323,HUH,22:10 ,06:10 ,HUH,7:30,ET4
F15501,SHS,04:55 ,11:25 ,HUH,6:00,LG2N(S)/LOW Step1
F15502,SHS,04:55 ,12:55 ,HUH,7:30,LOWP3 Run21
F15503,SHT,04:05 ,10:35 ,HTD,6:00,FOTP4 Run11
F15504,HUH,14:00 ,22:15 ,HUH,7:45,SG2S STOP
F15505,HUH,14:27 ,21:12 ,HUH,6:15,EMU
F15506,HUH,11:04 ,19:19 ,HUH,7:45,EMU
F15507,SHS,06:00 ,14:30 ,HUH,8:00,LG1S Run16
F15508,SHT,04:05 ,11:35 ,HUH,7:00,SHTP4 Run9
F15509,HUH,16:48 ,01:33 ,HUH,8:15,LG2N STOP
F15510,HUH,18:03 ,01:48 ,HUH,7:15,SHSP2 STOP
F15511,HUH,15:00 ,21:30 ,HUH,6:00,LG1S STOP
F15512,SHS,04:55 ,12:55 ,HUH,7:30,SG2S Run15
F15513,SHS,04:55 ,12:40 ,HUH,7:15,LMC Step1
F15514,SHT,04:05 ,10:35 ,HTD,6:00,LOW Step2
F15515,HUH,13:05 ,21:05 ,HUH,7:30,LG1N STOP
F15516,HUH,11:26 ,19:56 ,HUH,8:00,LOW OFF
F15517,HUH,07:09 ,14:39 ,HUH,7:00,EMU
F15518,SHT,04:05 ,12:05 ,HUH,7:30,SB
F15519,SHS,04:55 ,12:25 ,HUH,7:00,LMCP2 Run23
F15520,HUH,17:53 ,01:23 ,HUH,7:00,LMCP1 STOP
F15521,HUH,15:17 ,23:32 ,HUH,7:45,EMU
F15522,HUH,14:16 ,22:16 ,HTD,7:30,EMU
F15523,HUH,07:31 ,15:46 ,HUH,7:45,EMU
F15524,SHS,04:55 ,12:40 ,HUH,7:15,LOWP1 Run20
F15525,SHT,04:05 ,10:35 ,HTD,6:00,FOTP1 Run10
F15526,HUH,18:00 ,01:45 ,HUH,7:15,LOWP1 STOP
F15527,HUH,16:00 ,00:30 ,HUH,8:00,SB
F15528,HTD,06:05 ,14:05 ,HUH,7:30,Run28
F15529,SHT,04:05 ,10:35 ,HTD,6:00,RACP1 Run12
F15530,HUH,18:31 ,01:46 ,HTD,6:45,EMU
F15531,HUH,16:01 ,00:46 ,HTD,8:15,EMU
F15532,HUH,16:28 ,00:58 ,HUH,8:00,SHS OFF
F15533,HUH,07:36 ,15:51 ,HUH,7:45,EMU
F15534,SHS,04:55 ,12:10 ,HUH,6:45,LG2N(N) T19
F15535,SHT,04:05 ,10:35 ,HUH,6:00,SHTP1 Run6
F15536,HTD,16:40 ,00:55 ,HUH,7:45,Run28(2) / RACP1 STOP
F15537,HUH,16:57 ,01:27 ,HUH,8:00,LMCP2 STOP
F15538,HUH,16:23 ,00:38 ,HUH,7:45,EMU
F15539,SHS,04:55 ,11:25 ,HUH,6:00,LG1N Run18
F15540,HTD,05:22 ,13:37 ,HUH,7:45,Run26
F15541,HUH,17:35 ,01:35 ,HUH,7:30,FOTP4  STOP
F15542,HTD,15:56 ,00:11 ,HUH,7:45,Run19(2) / TAPP1 STOP
F15543,HUH,13:00 ,21:00 ,HUH,7:30,SB
F15544,SHS,04:55 ,11:25 ,HUH,6:00,SHSP2 Run14
F15545,SHT,04:05 ,10:35 ,HUH,6:00,TAPP1 Run13
F15546,HUH,13:27 ,22:12 ,HUH,8:15,EMU
F15547,HUH,15:33 ,00:18 ,HUH,8:15,LG2S STOP
F15548,LOW,16:12 ,23:27 ,HUH,6:45,LG1N Run17(2) / LMC OFF
F15549,SHS,04:55 ,12:55 ,HUH,7:30,LMCP1 Run22
F15550,SHS,04:55 ,11:25 ,HUH,6:00,LG2S Run17
F15551,HUH,18:45 ,01:45 ,HUH,6:30,LOWP3  STOP
F15552,HTD,16:30 ,00:45 ,HTD,7:45,HB
F15553,HUH,13:38 ,21:53 ,HUH,7:45,EMU
F15554,HUH,10:25 ,16:55 ,HUH,6:00,EMU
F15555,HUH,07:58 ,16:13 ,HUH,7:45,EMU / LWM BY
F15556,HTD,06:13 ,14:43 ,HTD,8:00,Run30
