Name,Book On Location,Book On Time,Book Off Time,Book Off Location,Duration,Remarks
G55101,HUH,06:41 AM,02:56 PM,HUH,7:45,TAP PICK T32
G55102,HUH,05:16 AM,01:16 PM,HUH,7:30,MKKP1S T3
G55103,HTD,05:05 AM,01:05 PM,HUH,7:30,T24
G55104,HUH,01:44 PM,08:59 PM,HUH,6:45,EMU
G55105,HUH,11:00 AM,07:45 PM,HUH,8:15,KB
G55106,HUH,10:22 AM,05:37 PM,HUH,6:45,EMU
G55107,HUH,05:22 AM,12:52 PM,HUH,7:00,EMU
G55108,HUH,08:05 AM,04:50 PM,HUH,8:15,EMU
G55109,HUH,05:07 PM,01:22 AM,HUH,7:45,FOTP1 STOP
G55110,HUH,06:00 PM,01:45 AM,HUH,7:15,SHTP3 STOP
G55111,HUH,02:11 PM,10:26 PM,HTD,7:45,EMU
G55112,HUH,05:17 AM,12:32 PM,HUH,6:45,EMU
G55113,SHT,04:05 AM,10:35 AM,HUH,6:00,SHTP4S T8
G55114,HUH,12:58 PM,08:13 PM,HUH,6:45,EMU/PM BY
G55115,HUH,01:17 PM,09:32 PM,HUH,7:45,EMU
G55116,HUH,12:22 PM,07:22 PM,HUH,6:30,EMU
G55117,HUH,07:34 AM,04:19 PM,HUH,8:15,EMU
G55118,HUH,05:41 AM,01:11 PM,HUH,7:00,EMU
G55119,HUH,04:28 AM,10:58 AM,HUH,6:00,MKKP3 T5
G55120,HUH,05:34 PM,01:34 AM,HTD,7:30,EMU
G55121,HUH,05:42 PM,01:27 AM,HUH,7:15,SHTP4 STOP
G55122,HUH,04:31 PM,01:16 AM,HUH,8:15,MKKP1 STOP
G55123,HTD,05:53 AM,01:38 PM,HTD,7:15,T29
G55124,HUH,06:53 AM,02:23 PM,HUH,7:00,EMU
G55125,HTD,05:11 AM,11:41 AM,HUH,6:00,T25
G55126,HUH,01:12 PM,09:57 PM,HUH,8:15,EMU
G55127,HUH,10:50 AM,06:05 PM,HUH,6:45,EMU
G55128,HUH,06:44 AM,02:14 PM,HUH,7:00,EMU
G55129,SHT,04:05 AM,10:35 AM,HTD,6:00,SHTP3 T7
G55130,HUH,06:54 PM,01:54 AM,HUH,6:30,MKKP3 STOP
G55131,HUH,05:15 PM,01:30 AM,HUH,7:45,KB
G55132,HUH,04:02 PM,11:17 PM,HUH,6:45,EMU
G55133,HUH,07:17 AM,02:32 PM,HUH,6:45,EMU
G55134,HTD,05:00 AM,01:30 PM,HTD,8:00,HB/Hot Standby
