Name,Book On Location,Book On Time,Book Off Time,Book Off Location,Duration,Remarks
E19401,WEK,05:00,13:00,WEK,07:30,By
E19402,WEK,05:00,13:45,WEK,08:15,
E19403,SSS,05:15,13:30,WEK,07:45,
E19404,WEK,05:45,12:45,WEK,06:30,
E19405,WEK,06:00,14:15,WEK,07:45,
E19406,SSS,07:00,15:00,SSS,07:30,By
E19407,WEK,07:00,14:45,WEK,07:15,
E19408,WEK,08:10,16:40,WEK,08:00,
E19409,WEK,09:00,17:00,WEK,07:30,By
E19410,WEK,09:07,19:22,WEK,09:45,
E19411,WEK,10:06,18:36,WEK,08:00,
E19412,WEK,12:12,20:12,WEK,07:30,
E19413,WEK,12:48,21:18,WEK,08:00,
E19414,WEK,13:00,21:00,WEK,07:30,By
E19415,WEK,13:14,22:29,WEK,08:45,
E19416,WEK,14:28,21:28,WEK,06:30,
E19417,SSS,15:00,23:00,SSS,07:30,By
E19418,WEK,15:18,00:18,WEK,08:30,
E19419,WEK,15:30,00:00,WEK,08:00,By
E19420,WEK,15:30,23:15,WEK,07:15,
E19421,WEK,21:13,06:28,WEK,08:45,
E19422,WEK,21:50,07:05,WEK,08:45,
E19423,WEK,21:50,07:05,WEK,08:45,
E19424,WEK,23:30,08:45,WEK,08:45,
E19425,SSS,05:30,12:30,WEK,06:30,
E19426,WEK,06:15,14:30,WEK,07:45,
E19427,WEK,12:58,21:08,WEK,08:30,
E19428,WEK,15:44,23:29,WEK,07:15,
