Name,Book On Location,Book On Time,Book Off Time,Book Off Location,Duration,Remarks
J14101,HUH,06:41 ,14:56,HUH,07:45,TAP PICK T32
J14102,HUH,05:16 ,12:46,HUH,07:00,MKKP1S T3
J14103,HTD,05:05 ,13:05,HUH,07:30,T24
J14104,HUH,13:44 ,20:59,HUH,06:45,EMU
J14105,HUH,11:00 ,19:45,HUH,08:15,KB
J14106,HUH,10:28 ,17:28,HUH,06:30,EMU
J14107,HUH,05:22 ,12:37,HUH,06:45,EMU
J14108,HUH,08:00 ,16:45,HUH,08:15,EMU
J14109,HUH,17:23 ,01:23,HUH,07:30,FOTP1 STOP
J14110,HUH,17:07 ,01:52,HUH,08:15,SHTP3 STOP
J14111,HUH,14:11 ,22:26,HTD,07:45,EMU
J14112,HUH,05:17 ,12:47,HUH,07:00,EMU
J14113,SHT,04:05 ,10:50,HUH,06:15,SHTP4S T8
J14114,HUH,12:35 ,20:05,HUH,07:00,EMU/PM BY
J14115,HUH,13:17 ,21:32,HUH,07:45,EMU
J14116,HUH,12:22 ,19:22,HUH,06:30,EMU
J14117,HUH,07:33 ,16:18,HUH,08:15,EMU
J14118,HUH,05:41 ,13:11,HUH,07:00,EMU
J14119,HUH,04:28 ,10:58,HUH,06:00,MKKP3 T5
J14120,HUH,17:34 ,01:34,HTD,07:30,EMU
J14121,HUH,17:42 ,01:27,HUH,07:15,SHTP4 STOP
J14122,HUH,16:16 ,01:01,HUH,08:15,MKKP1S STOP
J14123,HTD,05:53 ,13:38,HTD,07:15,T29
J14124,HUH,06:53 ,14:23,HUH,07:00,EMU
J14125,HTD,05:11 ,11:41,HTD,06:00,T25
J14126,HUH,13:24 ,22:09,HUH,08:15,EMU
J14127,HUH,12:02 ,19:47,HTD,07:15,EMU/HTD BY
J14128,HUH,06:56 ,13:56,HUH,06:30,EMU
J14129,SHT,04:05 ,10:35,HTD,06:00,SHTP3 T7
J14130,HUH,18:54 ,01:54,HUH,06:30,MKKP3 STOP
J14131,HUH,17:15 ,01:30,HUH,07:45,KB
J14132,HUH,16:02 ,00:47,HUH,08:15,SHTP4S STOP
J14133,HUH,06:40 ,15:10,HUH,08:00,EMU
J14134,HTD,05:00 ,13:30,HTD,08:00,HB/Hot Standby
J14135,HUH,04:50 ,12:35,HUH,07:15,HUHP1 T1
J14136,HUH,16:28 ,01:13,HUH,08:15,HUHP1 STOP
J14137,HTD,17:03 ,01:03,HUH,07:30,T24a
J14138,HUH,16:40 ,01:10,HTD,08:00,EMU
J14139,HUH,05:56 ,13:26,HUH,07:00,EMU
J14140,HUH,04:28 ,12:28,HUH,07:30,KB
J14141,HUH,06:34 ,14:04,HUH,07:00,EMU
J14142,HUH,17:59 ,01:29,HUH,07:00,MKKP1 STOP
J14143,HUH,18:27 ,01:27,HUH,06:30,EMU
J14144,HUH,06:19 ,15:04,HUH,08:15,EMU
J14145,HUH,08:05 ,16:50,HUH,08:15,EMU
J14146,HUH,13:30 ,21:15,HUH,07:15,EMU
J14147,HUH,12:41 ,19:41,HUH,06:30,EMU
J14148,HUH,10:25 ,18:10,HUH,07:15,EMU
J14149,HUH,04:50 ,12:20,HUH,07:00,HUHP4 T2/AM BY
J14150,HUH,04:28 ,12:13,HUH,07:15,MKKP1 T4
J14151,HTD,05:31 ,13:46,HUH,07:45,T28
J14152,HUH,18:19 ,01:49,HUH,07:00,HUHP4 STOP
J14153,HUH,18:10 ,01:55,HUH,07:15,SHTP1 STOP
J14154,HUH,16:31 ,01:01,HUH,08:00,EMU
J14155,HUH,06:37 ,13:52,HUH,06:45,EMU
J14156,HTD,06:34 ,15:19,HUH,08:15,T31
