Name,Book On Location,Book On Time,Book Off Time,Book Off Location,Duration,Remarks
J61101,HUH,06:41 AM,02:56 PM,HUH,7:45,TAP PICK T32
J61102,HUH,05:16 AM,01:16 PM,HUH,7:30,MKKP1S T3
J61103,HTD,05:05 AM,01:05 PM,HUH,7:30,T24
J61104,HUH,12:56 PM,08:11 PM,HUH,6:45,EMU
J61105,HUH,11:00 AM,07:45 PM,HUH,8:15,KB
J61106,HUH,10:13 AM,04:58 PM,HUH,6:15,EMU
J61107,HUH,05:22 AM,12:37 PM,HUH,6:45,EMU
J61108,HUH,08:05 AM,04:50 PM,HUH,8:15,EMU OT
J61109,HUH,05:17 PM,01:17 AM,HUH,7:30,FOTP1 STOP
J61110,HUH,06:17 PM,01:47 AM,HUH,7:00,SHTP3 STOP
J61111,HUH,02:13 PM,09:28 PM,HUH,6:45,EMU
J61112,HUH,05:17 AM,01:02 PM,HUH,7:15,EMU
J61113,SHT,04:05 AM,10:35 AM,HUH,6:00,SHTP4S T8
J61114,HUH,12:30 PM,07:45 PM,HUH,6:45,EMU/PM BY
J61115,HUH,01:11 PM,09:26 PM,HUH,7:45,EMU
J61116,HUH,12:17 PM,07:17 PM,HUH,6:30,EMU
J61117,HUH,07:34 AM,04:19 PM,HUH,8:15,EMU
J61118,HUH,05:41 AM,01:26 PM,HUH,7:15,EMU
J61119,HUH,04:28 AM,10:58 AM,HUH,6:00,MKKP3 T5
J61120,HUH,04:34 PM,01:19 AM,HUH,8:15,MKKP1 STOP
J61121,HUH,05:29 PM,12:44 AM,HUH,6:45,SHTP4S STOP
J61122,HUH,03:50 PM,12:35 AM,HUH,8:15,MKKP1S STOP
J61123,HTD,05:53 AM,01:53 PM,HUH,7:30,T29
J61124,HUH,06:53 AM,02:08 PM,HUH,6:45,EMU
J61125,HTD,05:11 AM,11:41 AM,HUH,6:00,T25
J61126,HUH,01:14 PM,09:59 PM,HUH,8:15,EMU OT
J61127,HUH,10:50 AM,06:20 PM,HUH,7:00,EMU
J61128,HUH,06:44 AM,02:29 PM,HUH,7:15,EMU
J61129,SHT,04:05 AM,12:20 PM,HUH,7:45,SHTP3 T7
J61130,HUH,06:51 PM,01:51 AM,HUH,6:30,MKKP3 STOP
J61131,HUH,05:15 PM,01:30 AM,HUH,7:45,KB
J61132,HUH,02:31 PM,09:16 PM,HUH,6:15,EMU
J61133,HUH,07:17 AM,03:02 PM,HUH,7:15,EMU
J61134,HTD,05:00 AM,01:30 PM,HTD,8:00,HB/Hot Standby
J61135,HUH,04:50 AM,12:50 PM,HUH,7:30,HUHP1 T1
J61136,HTD,04:50 PM,01:35 AM,HUH,8:15,T10a HUHP1 STOP
J61137,HUH,06:09 PM,12:54 AM,HUH,6:15,EMU
J61138,HUH,05:03 PM,01:03 AM,HUH,7:30,RACP1 STOP
J61139,HUH,05:56 AM,01:26 PM,HUH,7:00,EMU
J61140,HUH,04:28 AM,12:28 PM,HUH,7:30,KB
J61141,HUH,06:34 AM,03:04 PM,HUH,8:00,EMU
J61142,HUH,06:12 PM,01:42 AM,HUH,7:00,SHTP4 STOP
J61143,HUH,04:36 PM,01:21 AM,HUH,8:15,EMU
J61144,HUH,06:37 AM,02:37 PM,HUH,7:30,EMU
J61145,HUH,07:58 AM,04:43 PM,HUH,8:15,EMU
J61146,HUH,01:35 PM,10:20 PM,HUH,8:15,EMU OT
J61147,HUH,12:50 PM,08:05 PM,HUH,6:45,EMU
J61148,HUH,12:33 PM,07:48 PM,HUH,6:45,EMU
J61149,HUH,04:50 AM,12:20 PM,HUH,7:00,HUHP4 T2/AM BY
J61150,HUH,04:28 AM,12:28 PM,HUH,7:30,MKKP1 T4
J61151,HTD,05:31 AM,01:46 PM,HUH,7:45,T28
J61152,HUH,06:26 PM,01:56 AM,HUH,7:00,HUHP4 STOP
J61153,HUH,06:23 PM,01:53 AM,HUH,7:00,SHTP1 STOP
J61154,HUH,05:15 PM,01:15 AM,HUH,7:30,EMU
J61155,HUH,06:23 AM,01:53 PM,HUH,7:00,EMU
J61156,HTD,06:34 AM,02:49 PM,HUH,7:45,T31
J61157,HUH,01:28 PM,09:13 PM,HTD,7:15,EMU
J61158,HUH,01:32 PM,09:17 PM,HUH,7:15,EMU
J61159,HUH,11:16 AM,06:31 PM,HUH,6:45,EMU
J61301,HUH,07:40 AM,04:40 PM,HUH,8:30,P705/P706/P711/P716
J61302,LOW,07:15 AM,03:15 PM,LOW,7:30,RS
J61303,HUH,11:30 PM,06:30 AM,HUH,7:00,MOL
J61304,HUH,10:10 PM,06:10 AM,HUH,8:00,ET6
J61305,HUH,10:10 PM,06:10 AM,HUH,8:00,ET5
J61306,HUH,08:30 AM,03:00 PM,HUH,6:00,P704/P709/P714
J61307,HUH,06:57 AM,03:42 PM,HUH,8:15,EMU OT
J61308,HUH,10:10 PM,06:10 AM,HUH,8:00,ET8
J61309,HUH,10:10 PM,06:10 AM,HUH,8:00,ET3
J61310,HUH,10:10 PM,06:10 AM,HUH,8:00,ET1
J61311,HUH,03:30 PM,12:30 AM,HUH,8:30,P721/P724/KB
J61312,HUH,01:39 PM,08:54 PM,HUH,6:45,EMU
J61313,HUH,02:40 PM,12:10 AM,HUH,9:00,P717/P722/P727/P728
J61314,LOW,02:30 PM,10:30 PM,LOW,7:30,RS/MTT
J61315,HUH,01:30 PM,08:30 PM,HUH,6:30,P715/P720/P725
J61316,LOW,07:15 AM,03:15 PM,LOW,7:30,RS
J61317,HUH,06:15 AM,01:45 PM,HUH',7:00,P701/P702/P707/P710
J61318,LOW,02:30 PM,10:30 PM,LOW,7:30,RS/MTT
J61319,HUH,10:10 PM,06:10 AM,HUH,8:00,ET10
J61320,HUH,10:10 PM,06:10 AM,HUH,8:00,ET9
J61321,HUH,10:10 PM,06:10 AM,HUH,8:00,ET7
J61322,HUH,10:10 PM,06:10 AM,HUH,8:00,ET4
J61323,HUH,10:10 PM,06:10 AM,HUH,8:00,ET2
J61501,SHS,06:00 AM,02:00 PM,HUH,7:30,LOWP3 PICK T27
J61502,SHS,04:55 AM,11:55 AM,HUH,6:30,LOWP1 T20
J61503,SHT,04:05 AM,10:50 AM,HUH,6:15,FOTP4 T11
J61504,HUH,03:17 PM,12:02 AM,HUH,8:15,LG2SSTOP
J61505,HUH,01:18 PM,10:03 PM,HUH,8:15,EMU OT
J61506,HTD,12:00 PM,06:30 PM,HTD,6:00,HTD BY/T15a
J61507,SHS,06:00 AM,02:15 PM,HUH,7:45,LG1N T18
J61508,SHT,04:05 AM,11:20 AM,HUH,6:45,SHTP4 T9
J61509,HUH,05:39 PM,01:39 AM,HTD,7:30,EMU
J61510,HUH,04:59 PM,01:29 AM,HUH,8:00,LG1SSTOP
J61511,HUH,02:04 PM,10:49 PM,HUH,8:15,SG2S STOP
J61512,SHS,04:55 AM,12:55 PM,HUH,7:30,LG2N T19
J61513,SHS,04:55 AM,12:40 PM,HUH,7:15,LMC PICK T4
J61514,SHT,04:05 AM,11:35 AM,HUH,7:00,LOWP3PICKT13/AM BY
J61515,HUH,12:44 PM,09:29 PM,HUH,8:15,EMU OT
J61516,HUH,01:07 PM,07:52 PM,HUH,6:15,LOW OFF
J61517,HTD,06:44 AM,03:29 PM,HUH,8:15,T32
