番號,上班地點,上班時間,下班時間,下班地點,工時,備註
992501A,SHT,04:05 ,10:35 ,HUH,06:00,TPP1 PU(Second Man)
992501B,SHT,04:05 ,10:35 ,HUH,06:00,STP1 PU(Second Man)
992502A,SHT,04:05 ,11:05 ,HUH,06:30,STP1 PU(Second Man)
992502B,SHT,04:05 ,10:35 ,HUH,06:00,FTP1 PU(Second Man)
992503A,SHS,04:55 ,11:25 ,HUH,06:00,LOW STEP1(Second Man)
992503B,SHT,04:05 ,11:20 ,HUH,06:45,TPP1 PU(Second Man)
992504A,SHS,04:55 ,11:25 ,HUH,06:00,LOW STEP2(Second Man)
992504B,HUH,04:28 ,10:58 ,HTD,06:00,MKP1 PU(Second Man)
992505A,HUH,05:16 ,12:46 ,HUH,07:00,MK1S PU(Second Man)
992505B,SHS,04:55 ,12:55 ,HUH,07:30,SG3N PU(Second Man)
992506A,HTD,05:17 ,12:47 ,HUH,07:00,(Second Man)
992506B,SHS,04:55 ,11:25 ,HUH,06:00,(Second Man)
992507A,HUH,05:16 ,11:46 ,HUH,06:00,(Second Man)
992507B,SHS,04:55 ,13:10 ,HUH,07:45,LWP1 PU(Second Man)
992508A,HTD,05:49 ,12:19 ,HUH,06:00,(Second Man)
992508B,SHS,04:55 ,13:25 ,HUH,08:00,LWP3 PU(Second Man)
992509A,HUH,05:58 ,14:43 ,HUH,08:15,(Second Man)
992509B,SHS,04:55 ,12:10 ,HUH,06:45,SSP2 PU(Second Man)
992510A,SHS,06:00 ,13:45 ,HUH,07:15,SG3S PU(Second Man)
992510B,HUH,04:50 ,12:20 ,HUH,07:00,HHP4 PU(Second Man)
992511A,HUH,06:05 ,14:50 ,HUH,08:15,(Second Man)
992511B,HTD,05:17 ,12:32 ,HUH,06:45,HTD27(Second Man)
992512A,HUH,06:11 ,13:56 ,HUH,07:15,(Second Man)
992512B,HUH,05:18 ,11:48 ,HUH,06:00,(Second Man)
992513A,HUH,06:17 ,15:02 ,HUH,08:15,(Second Man)
992513B,HUH,04:50 ,11:20 ,HUH,06:00,HHP1 PU(Second Man)
992514A,HUH,06:19 ,15:04 ,HUH,08:15,(Second Man)
992514B,HUH,05:37 ,12:52 ,HUH,06:45,(Second Man)
992515A,HUH,06:26 ,12:56 ,HUH,06:00,(Second Man)
992515B,HUH,05:46 ,13:01 ,HUH,06:45,(Second Man)
992516A,HUH,06:30 ,13:15 ,HUH,06:15,(Second Man)
992516B,HUH,05:52 ,13:37 ,HUH,07:15,(Second Man)
992517A,HUH,06:38 ,15:23 ,HUH,08:15,(Second Man)
992517B,HUH,06:00 ,12:30 ,HUH,06:00,(Second Man)
992518A,HUH,06:42 ,15:27 ,HUH,08:15,(Second Man)
992518B,HUH,06:12 ,14:12 ,HUH,07:30,(Second Man)
992519A,HUH,06:46 ,14:31 ,HUH,07:15,(Second Man)
992519B,HUH,06:46 ,13:16 ,HUH,06:00,(Second Man)
992520A,HUH,06:53 ,15:38 ,HUH,08:15,(Second Man)
992520B,HUH,08:16 ,17:01 ,HUH,08:15,(Second Man)
992521A,HUH,07:00 ,15:45 ,HUH,08:15,(Second Man)
992521B,HUH,11:23 ,20:08 ,HUH,08:15,(Second Man)
992522A,HUH,07:06 ,15:51 ,HUH,08:15,(Second Man)
992522B,LOW,11:36 ,19:51 ,HUH,07:45,SG3S PU(Second Man)
992523A,HUH,13:23 ,21:53 ,HTD,08:00,(Second Man)
992523B,HUH,12:11 ,18:41 ,HUH,06:00,(Second Man)
992524A,HUH,13:30 ,21:30 ,HTD,07:30,(Second Man)
992524B,HUH,12:24 ,20:39 ,HUH,07:45,(Second Man)
992525A,HUH,13:36 ,22:06 ,HUH,08:00,(Second Man)
992525B,HUH,12:44 ,21:29 ,HUH,08:15,(Second Man)
992526A,HUH,13:40 ,20:40 ,HUH,06:30,(Second Man)
992526B,HUH,12:56 ,21:41 ,HUH,08:15,(Second Man)
992527A,HUH,13:52 ,22:22 ,HUH,08:00,MKP1 PD(Second Man)
992527B,HUH,13:10 ,21:25 ,HUH,07:45,(Second Man)
992528A,HUH,13:57 ,21:12 ,HTD,06:45,(Second Man)
992528B,HUH,13:24 ,21:39 ,HUH,07:45,(Second Man)
992529A,HUH,14:05 ,21:50 ,HUH,07:15,MK1S PD(Second Man)
992529B,HUH,13:31 ,21:46 ,HUH,07:45,(Second Man)
992530A,HUH,14:13 ,22:43 ,HUH,08:00,(Second Man)
992530B,HUH,13:40 ,21:10 ,HUH,07:00,(Second Man)
992531A,HUH,14:10 ,21:40 ,HTD,07:00,(Second Man)
992531B,HUH,14:05 ,22:05 ,HUH,07:30,(Second Man)
992532A,HUH,14:26 ,22:56 ,HUH,08:00,(Second Man)
992532B,HUH,15:41 ,00:11 ,HUH,08:00,TPP1 PD(Second Man)
992533A,HUH,14:46 ,23:01 ,HUH,07:45,(Second Man)
992533B,HUH,16:16 ,00:46 ,HTD,08:00,(Second Man)
992534A,HUH,15:16 ,23:46 ,HUH,08:00,(Second Man)
992534B,HUH,16:36 ,01:21 ,HTD,08:15,(Second Man)
992535A,HUH,15:34 ,00:19 ,HUH,08:15,TPP1 PD(Second Man)
992535B,HUH,17:03 ,01:03 ,HTD,07:30,(Second Man)
992536A,HUH,16:31 ,00:46 ,HTD,07:45,(Second Man)
992536B,HUH,17:11 ,00:41 ,HUH,07:00,ST4S PD(Second Man)
992537A,LOW,15:47 ,23:47 ,HUH,07:30,SG3N PU/ST4S PD(Second Man)
992537B,HUH,17:52 ,01:52 ,HTD,07:30,(Second Man)
992538A,HTD,16:57 ,01:12 ,HTD,07:45,(Second Man)
992538B,HUH,18:03 ,01:33 ,HTD,07:00,(Second Man)
992539A,HUH,17:00 ,01:45 ,HUH,08:15,STP3 PD(Second Man)
992539B,HUH,18:12 ,01:42 ,HUH,07:00,STP3 PD(Second Man)
992540A,HTD,17:27 ,01:42 ,HTD,07:45,(Second Man)
992540B,HUH,18:26 ,01:11 ,HUH,06:15,STP4 PD(Second Man)
992701A,SHT,04:05 ,10:35 ,HTD,06:00,STP4 Run9(ROTEM)
992701B,SHT,04:05 ,11:20 ,HUH,06:45,ST4S Run7(ROTEM)
992702A,SHT,04:05 ,11:35 ,HUH,07:00,FTP4 Run11 + LG1S PD(ROTEM)
992702B,SHT,04:05 ,11:35 ,HUH,07:00,STP3 Run8(ROTEM)
992703A,HTD,05:05 ,11:35 ,HTD,06:00,HTD26(ROTEM)
992703B,SHT,04:05 ,11:50 ,HUH,07:15,FTP4 Run11(ROTEM)
992704A,HTD,05:23 ,11:53 ,HUH,06:00,HTD28(ROTEM)
992704B,HTD,05:05 ,13:05 ,HUH,07:30,HTD26(ROTEM)
992705A,SHS,06:00 ,13:30 ,HUH,07:00,SG2S Run15(ROTEM)
992705B,HUH,05:23 ,13:23 ,HUH,07:30,(ROTEM)
992706A,HTD,06:06 ,12:36 ,HTD,06:00,HTD30(ROTEM)
992706B,HUH,05:27 ,13:27 ,HUH,07:30,(ROTEM)
992707A,HTD,06:30 ,13:00 ,HUH,06:00,Second Man + (ROTEM)
992707B,HUH,12:30 ,22:45 ,HUH,09:45,(ROTEM)
992708A,HUH,04:28 ,10:58 ,HUH,06:00,Second Man + (ROTEM)
992708B,HUH,12:51 ,23:06 ,HUH,09:45,(ROTEM)
992709A,HUH,07:28 ,18:13 ,HUH,10:15,(ROTEM)
992709B,HUH,12:56 ,23:11 ,HUH,09:45,(ROTEM)
