番號,上班地點,上班時間,下班時間,下班地點,工時,備註
991104,HUH,22:30 ,06:00 ,HUH,07:00,工程車/輔助值班
991105,HUH,22:45 ,06:15 ,HUH,07:00,EMU/LOW 翌晨升弓
991105,HUH,22:30 ,06:00 ,HUH,07:00,EMU/LOW 翌晨升弓/輔助值班
991002X,HUH,22:10 ,06:10 ,HUH,08:00,DAL 工程車
990003X,HUH,09:00 ,16:30 ,HUH,07:00,特別更
992322A,HTD,09:00 ,18:00 ,HTD,08:30,1152B EMU Test Run
992324A,HTD,09:00 ,18:00 ,HTD,08:30,1152B SL Daytime Test
990003C,HUH,09:30 ,17:00 ,HUH,07:00,特別更
991010A,HUH,08:00 ,16:00 ,FOT,07:30,FoTan P-Way Shunting
991010B,HUH,08:00 ,16:00 ,FOT,07:30,FoTan P-Way Shunting
992022A,HUH,07:00 ,15:00 ,HUH,07:30,Additional Spare Duty
992022B,HUH,17:00 ,01:00 ,HUH,07:30,Additional Spare Duty
992335A,HUH,22:30 ,06:00 ,HUH,07:00,1152B EMU Test Run
992105E,HTD,17:30 ,01:30 ,HTD,07:30,Saloon Noise Measurement
992343A,HUH,22:10 ,06:10 ,HUH,07:30,1152B DAL Loco Test Run
990048A,,,,,07:00,Union Meeting
991011B,HUH,07:00 ,18:30 ,,11:00,EPIC Assistant
991001X,HUH,22:10 ,06:10 ,HUH,07:30,工程車
990002A,,,,,07:30,白事假
990006,,,,,07:00,HO Forum & SCC Meeting
