番號,上班地點,上班時間,下班時間,下班地點,工時,備註
U15101,HUH,07:33 ,14:33 ,HUH,06:30,EMU
U15102,HUH,05:16 ,13:16 ,HUH,07:30,MKKP1S Run3
U15103,HTD,05:05 ,12:05 ,HUH,06:30,Run24
U15104,HUH,14:00 ,20:30 ,HUH,06:00,EMU
U15105,HUH,11:00 ,19:45 ,HUH,08:15,KB
U15106,HUH,10:44 ,17:44 ,HUH,06:30,EMU
U15107,HUH,05:22 ,13:07 ,HUH,07:15,EMU
U15108,HUH,08:11 ,15:41 ,HUH,07:00,EMU
U15109,HUH,17:46 ,01:31 ,HUH,07:15,FOTP1  STOP
U15110,HUH,17:35 ,01:35 ,HUH,07:30,SHTP3 STOP
U15111,HUH,14:07 ,22:22 ,HUH,07:45,EMU
U15112,HUH,05:17 ,11:47 ,HUH,06:00,EMU
U15113,SHT,04:05 ,11:20 ,HUH,06:45,SHTP4S Run8
U15114,HUH,12:36 ,19:06 ,HTD,06:00,EMU
U15115,HUH,13:04 ,21:04 ,HUH,07:30,EMU
U15116,HUH,12:22 ,21:07 ,HUH,08:15,EMU
U15117,HUH,08:07 ,14:37 ,HUH,06:00,EMU
U15118,HUH,05:26 ,11:56 ,HTD,06:00,EMU
U15119,HUH,04:28 ,11:43 ,HUH,06:45,MKKP3 Run5
U15120,HTD,16:31 ,00:46 ,HUH,07:45,Run12(2)
U15121,HUH,15:59 ,23:44 ,HUH,07:15,SHTP4  STOP
U15122,HUH,14:49 ,23:04 ,HUH,07:45,SHTP4S  STOP
U15123,HUH,07:14 ,13:44 ,HUH,06:00,EMU
U15124,HUH,06:55 ,15:25 ,HUH,08:00,EMU
U15125,HTD,05:11 ,12:26 ,HUH,06:45,Run25
U15126,HUH,13:18 ,21:33 ,HTD,07:45,EMU
U15127,HUH,12:01 ,20:31 ,HUH,08:00,EMU
U15128,HUH,06:30 ,15:15 ,HUH,08:15,EMU
U15129,SHT,04:05 ,10:50 ,HUH,06:15,SHTP3 Run7
U15130,HUH,18:55 ,01:55 ,HUH,06:30,MKKP3 STOP
U15131,HUH,17:15 ,01:30 ,HUH,07:45,KB
U15132,HUH,15:17 ,21:47 ,HTD,06:00,EMU
