Name,Book On Location,Book On Time,Book Off Time,Book Off Location,Duration,Remarks
U61101,HUH,06:41 上午,02:56 下午,HUH,7:45,TAP PICK T32
U61102,HUH,05:16 上午,12:46 下午,HUH,7:00,MKKP1S T3
U61103,HTD,05:05 上午,01:05 下午,HUH,7:30,T24
U61104,HUH,01:44 下午,08:59 下午,HUH,6:45,EMU
U61105,HUH,11:00 上午,07:45 下午,HUH,8:15,KB
U61106,HUH,10:33 上午,05:48 下午,HUH,6:45,EMU
U61107,HUH,05:22 上午,12:37 下午,HUH,6:45,EMU
U61108,HUH,08:00 上午,04:45 下午,HUH,8:15,EMU
U61109,HUH,05:18 下午,01:18 上午,HUH,7:30,FOTP1 STOP
U61110,HUH,06:03 下午,01:48 上午,HUH,7:15,SHTP3 STOP
U61111,HUH,02:12 下午,09:27 下午,HTD,6:45,EMU
U61112,HUH,05:17 上午,12:32 下午,HUH,6:45,EMU
U61113,SHT,04:05 上午,10:50 上午,HUH,6:15,SHTP4S T8
U61114,HUH,12:42 下午,08:12 下午,HUH,7:00,EMU/PM BY
U61115,HUH,01:00 下午,08:30 下午,HUH,7:00,EMU
U61116,HUH,12:22 下午,07:22 下午,HUH,6:30,EMU
U61117,HUH,07:33 上午,04:18 下午,HUH,8:15,EMU
U61118,HUH,05:41 上午,01:11 下午,HUH,7:00,EMU
U61119,HUH,04:28 上午,10:58 上午,HUH,6:00,MKKP3 T5
U61120,HUH,05:11 下午,01:26 上午,HTD,7:45,EMU
U61121,HUH,05:37 下午,01:37 上午,HUH,7:30,SHTP4 STOP
U61122,HUH,04:13 下午,12:58 上午,HUH,8:15,SHTP4S STOP
U61123,HTD,05:53 上午,02:08 下午,HTD,7:45,T29
U61124,HUH,06:53 上午,02:23 下午,HUH,7:00,EMU
U61125,HTD,05:11 上午,01:41 下午,HTD,8:00,T25
U61126,HUH,01:24 下午,10:09 下午,HUH,8:15,EMU
U61127,HUH,12:02 下午,07:17 下午,HUH,6:45,EMU
U61128,HUH,06:56 上午,01:56 下午,HUH,6:30,EMU
U61129,SHT,04:05 上午,12:05 下午,HUH,7:30,SHTP3 T7
U61130,HUH,06:55 下午,01:55 上午,HUH,6:30,MKKP3 STOP
U61131,HUH,05:15 下午,01:30 上午,HUH,7:45,KB
U61132,HUH,03:43 下午,11:13 下午,HUH,7:00,EMU
U61133,HUH,06:40 上午,03:10 下午,HUH,8:00,EMU
U61134,HTD,05:00 上午,01:30 下午,HTD,8:00,HB/Hot Standby
U61135,HUH,04:50 上午,12:50 下午,HUH,7:03,HUHP1 T1
U61136,HUH,06:30 下午,01:15 上午,HUH,6:15,HUHP1 STOP
