Name,Book On Location,Book On Time,Book Off Time,Book Off Location,Duration,Remarks
U65101,HUH,06:41 AM,02:56 PM,HUH,7:45,TAP  T32
U65102,HUH,05:16 AM,01:16 PM,HUH,7:30,MKKP1S T3
U65103,HTD,05:05 AM,01:05 PM,HUH,7:30,T24
U65104,HUH,12:56 PM,07:56 PM,HUH,6:30,EMU
U65105,HUH,11:00 AM,07:45 PM,HUH,8:15,KB
U65106,HUH,10:13 AM,04:58 PM,HUH,6:15,EMU
U65107,HUH,05:22 AM,12:52 PM,HUH,7:00,EMU
U65108,HUH,08:05 AM,04:50 PM,HUH,8:15,EMU
U65109,HUH,05:06 PM,01:21 AM,HUH,7:45,FOTP1 STOP
U65110,HUH,06:17 PM,01:32 AM,HUH,6:45,HUHP1 STOP
U65111,HUH,02:13 PM,09:43 PM,HUH,7:00,EMU
U65112,HUH,05:17 AM,12:17 PM,HUH,6:30,EMU
U65113,SHT,04:05 AM,10:35 AM,HUH,6:00,SHTP4S T8
U65114,HUH,12:30 PM,07:45 PM,HUH,6:45,EMU
U65115,HUH,01:11 PM,09:11 PM,HUH,7:30,EMU
U65116,HUH,11:12 AM,06:12 PM,HUH,6:30,EMU
U65117,HUH,07:34 AM,04:19 PM,HUH,8:15,EMU
U65118,HUH,05:41 AM,01:11 PM,HUH,7:00,EMU
U65119,HUH,04:28 AM,10:58 AM,HUH,6:00,MKKP3 T5
U65120,HUH,04:41 PM,01:26 AM,HUH,8:15,SHTP4 STOP
U65121,HUH,05:30 PM,01:45 AM,HUH,7:45,SHTP3 STOP
U65122,HUH,03:50 PM,12:35 AM,HUH,8:15,MKKP1S STOP
U65123,HTD,05:53 AM,01:53 PM,HUH,7:30,T29
U65124,HUH,06:53 AM,02:08 PM,HUH,6:45,EMU
U65125,HTD,05:11 AM,11:41 AM,HUH,6:00,T25
U65126,HUH,01:14 PM,09:59 PM,HUH,8:15,EMU OT
U65127,HUH,10:50 AM,06:05 PM,HUH,6:45,EMU
U65128,HUH,06:44 AM,02:29 PM,HUH,7:15,EMU
U65129,SHT,04:05 AM,10:35 AM,HTD,6:00,SHTP3 T7
U65130,HUH,06:51 PM,01:51 AM,HUH,6:30,MKKP3 STOP
U65131,HUH,05:15 PM,01:30 AM,HUH,7:45,KB
U65132,HUH,02:31 PM,09:46 PM,HUH,6:45,EMU
U65133,HUH,07:17 AM,02:32 PM,HUH,6:45,EMU
U65134,HTD,05:00 AM,01:30 PM,HTD,8:00,HB/Hot Standby
U65135,HUH,04:50 AM,12:50 PM,HUH,7:30,HUHP1 T1
U65136,HUH,04:36 PM,01:21 AM,HUH,8:15,MKKP1 STOP
U65137,HTD,04:38 PM,01:08 AM,HUH,8:00,T16a
U65138,HUH,05:03 PM,01:03 AM,HUH,7:30,RACP1 STOP
U65139,HUH,05:56 AM,01:26 PM,HUH,7:00,EMU
U65140,HUH,04:28 AM,12:28 PM,HUH,7:30,KB
U65141,HUH,06:34 AM,01:49 PM,HUH,6:45,EMU
U65142,HUH,04:14 PM,12:59 AM,HUH,8:15,SHTP4S STOP
U65143,HUH,06:25 PM,01:25 AM,HUH,6:30,EMU
U65144,HUH,06:37 AM,03:07 PM,HUH,8:00,EMU
U65145,HUH,07:58 AM,04:43 PM,HUH,8:15,EMU
U65146,HUH,01:35 PM,10:20 PM,HUH,8:15,EMU OT
U65147,HUH,01:04 PM,08:04 PM,HUH,6:30,EMU
U65148,HUH,12:33 PM,07:48 PM,HUH,6:45,EMU
U65149,HUH,04:50 AM,12:20 PM,HUH,7:00,HUHP4 T2/AM BY
U65150,HUH,04:28 AM,12:28 PM,HUH,7:30,MKKP1 T4
U65151,HTD,05:31 AM,01:46 PM,HUH,7:45,T28
U65152,HUH,06:34 PM,01:49 AM,HUH,6:45,HUHP4 STOP
U65153,HUH,06:22 PM,01:52 AM,HUH,7:00,SHTP1 STOP
U65154,HUH,04:31 PM,01:01 AM,HUH,8:00,EMU
U65155,HUH,06:23 AM,01:53 PM,HUH,7:00,EMU
U65156,HTD,06:34 AM,02:49 PM,HUH,7:45,T31
U65157,HUH,01:28 PM,08:43 PM,HUH,6:45,EMU
U65158,HUH,01:32 PM,09:17 PM,HUH,7:15,EMU
U65159,HUH,11:16 AM,06:46 PM,HUH,7:00,EMU
U65301,HUH,07:40 AM,04:40 PM,HUH,8:30,P705/P706/P711/P716
U65302,LOW,07:15 AM,03:15 PM,LOW,7:30,RS
U65303,HUH,11:30 PM,06:30 AM,HUH,7:00,MOL
U65304,HUH,10:10 PM,06:10 AM,HUH,8:00,ET6
U65305,HUH,10:10 PM,06:10 AM,HUH,8:00,ET5
U65306,HUH,08:30 AM,03:00 PM,HUH,6:00,P704/P709/P714
U65307,HUH,06:57 AM,03:42 PM,HUH,8:15,EMU
U65308,HUH,10:10 PM,06:10 AM,HUH,8:00,ET8
U65309,HUH,10:10 PM,06:10 AM,HUH,8:00,ET3
U65310,HUH,10:10 PM,06:10 AM,HUH,8:00,ET1
U65311,HUH,03:30 PM,12:30 AM,HUH,8:30,P721/P724/KB
U65312,HUH,01:39 PM,09:24 PM,HUH,7:15,EMU
U65313,HUH,02:40 PM,12:10 AM,HUH,9:00,P717/P722/P727/P728
U65314,LOW,02:30 PM,10:30 PM,LOW,7:30,RS/MTT
U65315,HUH,01:30 PM,08:30 PM,HUH,6:30,P715/P720/P725
U65316,LOW,07:15 AM,03:15 PM,LOW,7:30,RS
U65317,HUH,06:15 AM,01:45 PM,HUH,7:00,P701/P702/P707/P710
U65318,LOW,02:30 PM,10:30 PM,LOW,7:30,RS/MTT
