Name,Book On Location,Book On Time,Book Off Time,Book Off Location,Duration,Remarks
V14101,HUH,7:31 上午,3:01 下午,HUH,7:00,EMU
V14102,HUH,5:16 上午,12:46 下午,HUH,7:00,MKKP1S T3
V14103,HTD,5:05 上午,1:05 下午,HUH,7:30,T24
V14104,HUH,1:44 下午,8:59 下午,HUH,6:45,EMU
V14105,HUH,11:00 上午,7:45 下午,HUH,8:15,KB
V14106,HUH,10:25 上午,5:25 下午,HUH,6:30,EMU
V14107,HUH,5:22 上午,12:37 下午,HUH,6:45,EMU
V14108,HUH,8:11 上午,4:41 下午,HUH,8:00,EMU
V14109,HUH,5:23 下午,1:23 上午,HUH,7:30,FOTP1 STOP
V14110,HUH,5:07 下午,1:52 上午,HUH,8:15,SHTP3 STOP
V14111,HUH,2:11 下午,10:26 下午,HTD,7:45,EMU
V14112,HUH,5:17 上午,12:47 下午,HUH,7:00,EMU
V14113,SHT,4:05 上午,11:05 上午,HUH,6:30,SHTP4S T8
V14114,HUH,12:35 下午,8:05 下午,HUH,7:00,EMU/PM BY
V14115,HUH,1:17 下午,9:32 下午,HUH,7:45,EMU
V14116,HUH,12:22 下午,7:22 下午,HUH,6:30,EMU
V14117,HUH,8:07 上午,4:22 下午,HUH,7:45,EMU
V14118,HUH,5:41 上午,1:11 下午,HUH,7:00,EMU
V14119,HUH,4:28 上午,10:58 上午,HTD,6:00,MKKP3 T5
V14120,HUH,5:34 下午,1:34 上午,HTD,7:30,EMU
V14121,HUH,5:42 下午,1:27 上午,HUH,7:15,SHTP4 STOP
V14122,HUH,4:16 下午,1:01 上午,HUH,8:15,MKKP1S STOP
V14123,HTD,5:53 上午,1:38 下午,HTD,7:15,HTD on DUTY/EMU
V14124,HUH,6:52 上午,2:25 下午,HUH,7:00,EMU
V14125,HTD,5:11 上午,11:41 上午,HTD,6:00,T25
V14126,HUH,1:24 下午,10:09 下午,HUH,8:15,EMU
V14127,HUH,12:02 下午,7:47 下午,HTD,7:15,EMU/HTD BY
V14128,HUH,6:56 上午,1:56 下午,HUH,6:30,EMU
V14129,SHT,4:05 上午,10:35 上午,HTD,6:00,SHTP3 T7
V14130,HUH,6:54 下午,1:54 上午,HUH,6:30,MKKP3 STOP
V14131,HUH,5:15 下午,1:30 上午,HUH,7:45,KB
V14132,HUH,4:02 下午,12:47 上午,HUH,8:15,SHTP4S STOP
V14133,HUH,6:41 上午,3:11 下午,HUH,8:00,EMU
V14134,HTD,5:00 上午,1:30 下午,HTD,8:00,HB/Hot Standby
V14135,HUH,4:50 上午,12:50 下午,HUH,7:30,HUHP1 T1
V14136,HUH,4:28 下午,1:13 上午,HUH,8:15,HUHP1 STOP
V14137,HTD,5:03 下午,1:03 上午,HUH,7:30,T2a
