番號,上班地點,上班時間,下班時間,下班地點,工時,備註
V75101,HUH,06:38 ,13:38 ,HUH,6:30,EMU
V75102,HUH,05:50 ,14:35 ,HUH,8:15,EMU
V75103,HTD,05:05 ,11:35 ,HUH,6:00,Run24
V75104,HUH,12:19 ,19:34 ,HUH,6:45,EMU
V75105,HUH,11:00 ,19:45 ,HUH,8:15,KB
V75106,HUH,11:02 ,17:32 ,HUH,6:00,EMU
V75107,HUH,05:22 ,12:52 ,HUH,7:00,EMU
V75108,HUH,08:17 ,16:32 ,HUH,7:45,EMU
V75109,HUH,17:00 ,01:30 ,HUH,8:00,FOTP1  STOP
V75110,HUH,19:09 ,01:39 ,HUH,6:00,SHTP3 STOP
V75111,HUH,14:09 ,20:39 ,HUH,6:00,EMU
V75112,HUH,05:17 ,14:02 ,HUH,8:15,EMU
V75113,SHT,04:05 ,10:35 ,HUH,6:00,SHTP4S Run8
V75114,HUH,12:52 ,20:07 ,HUH,6:45,EMU
V75115,HUH,13:14 ,19:44 ,HUH,6:00,EMU
V75116,HUH,12:30 ,19:00 ,HUH,6:00,EMU
V75117,,GH,,,,
V75118,HUH,05:27 ,13:57 ,HUH,8:00,EMU
V75119,HUH,04:28 ,12:13 ,HUH,7:15,MKKP3 Run5
V75120,HUH,15:32 ,00:17 ,HUH,8:15,EMU
V75121,HUH,16:43 ,01:13 ,HUH,8:00,SHTP4  STOP
V75122,HUH,15:10 ,23:25 ,HUH,7:45,SHTP4S  STOP
V75123,HUH,06:27 ,12:57 ,HUH,6:00,EMU
V75124,HUH,06:54 ,15:24 ,HUH,8:00,EMU
V75125,HTD,05:11 ,12:11 ,HUH,6:30,Run25
V75126,HUH,13:31 ,20:01 ,HUH,6:00,EMU
V75127,HUH,12:08 ,18:38 ,HUH,6:00,EMU
V75128,HUH,07:10 ,15:40 ,HUH,8:00,EMU
V75129,SHT,04:05 ,10:35 ,HUH,6:00,SHTP3 Run7
V75130,HUH,17:11 ,01:41 ,HUH,8:00,MKKP3 STOP
V75131,HUH,17:15 ,01:30 ,HUH,7:45,KB
V75132,HUH,14:48 ,22:03 ,HUH,6:45,EMU
V75133,,GH,,,,
V75134,HTD,05:00 ,13:30 ,HTD,8:00,HB/Hot Standby
V75135,HUH,04:50 ,12:50 ,HUH,7:30,HUHP1 Run1
V75136,HUH,16:54 ,00:09 ,HUH,6:45,MKKP1 STOP
V75137,HUH,16:32 ,00:47 ,HUH,7:45,EMU
V75138,HUH,18:33 ,01:03 ,HTD,6:00,EMU
V75139,HUH,06:00 ,13:15 ,HUH,6:45,EMU
