Name,Book On Location,Book On Time,Book Off Time,Book Off Location,Duration,Remarks
X14101,HUH,7:33 上午,3:03 下午,HUH,7:00,EMU
X14102,HUH,5:16 上午,12:46 下午,HUH,7:00,MKKP1S T3
X14103,HTD,5:05 上午,1:05 下午,HUH,7:30,T24
X14104,HUH,1:44 下午,8:59 下午,HUH,6:45,EMU
X14105,HUH,11:00 上午,7:45 下午,HUH,8:15,KB
X14106,HUH,10:24 上午,5:24 下午,HUH,6:30,EMU
X14107,HUH,5:22 上午,12:37 下午,HUH,6:45,EMU
X14108,HUH,8:11 上午,4:41 下午,HUH,8:00,EMU
X14109,HUH,5:23 下午,1:23 上午,HUH,7:30,FOTP1 STOP
X14110,HUH,5:07 下午,1:52 上午,HUH,8:15,SHTP3 STOP
X14111,HUH,2:05 下午,10:20 下午,HTD,7:45,EMU
X14112,HUH,5:17 上午,12:47 下午,HUH,7:00,EMU
X14113,SHT,4:05 上午,11:05 上午,HUH,6:30,SHTP4S T8
X14114,HUH,12:35 下午,8:05 下午,HUH,7:00,EMU/PM BY
X14115,HUH,1:17 下午,9:32 下午,HUH,7:45,EMU
X14116,HUH,12:22 下午,7:22 下午,HUH,6:30,EMU
X14117,HUH,8:07 上午,4:22 下午,HUH,7:45,EMU
X14118,HUH,5:41 上午,1:11 下午,HUH,7:00,EMU
X14119,HUH,4:28 上午,10:58 上午,HTD,6:00,MKKP3 T5
X14120,HUH,5:34 下午,1:34 上午,HTD,7:30,EMU
X14121,HUH,5:59 下午,1:14 上午,HUH,6:45,SHTP4 STOP
X14122,HUH,4:13 下午,12:58 上午,HUH,8:15,MKKP1S STOP
X14123,HTD,5:53 上午,1:53 下午,HUH,7:30,HTD on DUTY/EMU
X14124,HUH,6:52 上午,2:25 下午,HUH,7:00,EMU
X14125,HTD,5:11 上午,11:41 上午,HTD,6:00,T25/ BY
X14126,HUH,1:24 下午,10:09 下午,HUH,8:15,EMU
X14127,HUH,12:02 下午,7:47 下午,HTD,7:15,EMU/HTD BY
X14128,HUH,6:52 上午,2:07 下午,HUH,6:45,EMU
X14129,SHT,4:05 上午,10:35 上午,HTD,6:00,SHTP3 T7
X14130,HUH,6:54 下午,1:54 上午,HUH,6:30,MKKP3 STOP
X14131,HUH,5:15 下午,1:30 上午,HUH,7:45,KB
X14132,HUH,4:02 下午,12:47 上午,HUH,8:15,SHTP4S STOP
X14133,HUH,6:41 上午,3:11 下午,HUH,8:00,EMU
X14134,HTD,5:00 上午,1:30 下午,HTD,8:00,HB/Hot Standby
X14135,HUH,4:50 上午,1:05 下午,HUH,7:45,HUHP1 T1
X14136,HUH,5:18 下午,1:33 上午,HUH,7:45,MKKP1 STOP
X14137,HTD,5:03 下午,1:03 上午,HUH,7:30,T8a
X14138,HUH,4:40 下午,1:10 上午,HTD,8:00,EMU
X14139,HUH,5:56 上午,1:26 下午,HUH,7:00,EMU
X14140,HUH,4:28 上午,12:28 下午,HUH,7:30,KB
X14141,HUH,6:34 上午,1:49 下午,HUH,6:45,EMU
X14142,HUH,6:23 下午,1:23 上午,HUH,6:30,HUHP1 STOP
X14143,HUH,6:27 下午,1:27 上午,HUH,6:30,EMU
X14144,HUH,6:15 上午,3:00 下午,HUH,8:15,EMU
X14145,HUH,8:04 上午,4:34 下午,HUH,8:00,EMU
X14146,HUH,1:30 下午,9:15 下午,HUH,7:15,EMU
X14147,HUH,12:41 下午,8:26 下午,HUH,7:15,EMU
X14148,HUH,10:28 上午,5:58 下午,HUH,7:00,EMU
X14149,HUH,4:50 上午,12:20 下午,HUH,7:00,HUHP4 T2/AM BY
X14150,HUH,4:28 上午,12:28 下午,HUH,7:39,MKKP1 T4
X14151,HTD,5:26 上午,1:41 下午,HUH,7:45,T27
X14152,HUH,6:19 下午,1:49 上午,HUH,7:00,HUHP4 STOP
X14153,HUH,5:42 下午,1:57 上午,HUH,7:45,FOTP4 STOP
X14154,HUH,4:16 下午,1:01 上午,HUH,8:15,EMU
X14155,HUH,6:37 上午,2:07 下午,HUH,7:00,EMU
X14156,HTD,6:36 上午,3:21 下午,HUH,8:15,T29
X14157,HUH,3:10 下午,11:40 下午,HUH,8:00,EMU
X14158,HUH,12:38 下午,7:38 下午,HUH,6:30,EMU
X14159,HTD,12:00 下午,7:15 下午,HUH,6:45,HTD BY/T15a
X14301,HUH,8:00 上午,2:30 下午,HUH,6:00,P702/P705/P712
X14302,LOW,7:15 上午,3:15 下午,LOW,7:30,RS
X14303,HUH,10:10 下午,6:10 上午,HUH,8:00,ET12
X14304,HUH,10:10 下午,6:10 上午,HUH,8:00,ET6
X14305,HUH,10:10 下午,6:10 上午,HUH,8:00,ET5
X14306,HUH,10:15 上午,5:15 下午,HUH,6:30,P708/P713
X14307,HUH,1:37 下午,9:37 下午,HUH,7:30,EMU
X14308,HUH,1:30 下午,10:15 下午,HUH,8:15,P714/P717/P720
X14309,LOW,2:30 下午,10:30 下午,LOW,7:30,RS/MTT
X14310,HUH,1:30 下午,9:45 下午,HUH,7:45,P711/P718/P721
X14311,HUH,8:00 上午,3:00 下午,HUH,6:30,P703/P704/P707
X14312,HUH,8:29 上午,3:59 下午,HUH,7:00,EMU
X14313,HUH,10:10 下午,6:10 上午,HUH,8:00,ET8
X14314,HUH,10:10 下午,6:10 上午,HUH,8:00,ET3
X14315,HUH,10:10 下午,6:10 上午,HUH,8:00,ET1
X14316,LOW,7:15 上午,3:15 下午,LOW,7:30,RS
X14317,HUH,10:10 下午,6:10 上午,HUH,8:00,ET11
X14318,HUH,10:10 下午,6:10 上午,HUH,8:00,ET10
X14319,HUH,10:10 下午,6:10 上午,HUH,8:00,ET2
X14320,LOW,2:30 下午,10:30 下午,LOW,7:30,RS/MTT
X14321,HUH,10:10 下午,6:10 上午,HUH,8:00,ET9
X14322,HUH,10:10 下午,6:10 上午,HUH,8:00,ET7
X14323,HUH,10:10 下午,6:10 上午,HUH,8:00,ET4
X14501,SHS,6:00 上午,2:30 下午,HUH,7:30,LOW Step2/LG1N STOP
X14502,SHS,4:55 上午,11:55 上午,HUH,6:30,LOWP1 T20
X14503,SHT,4:05 上午,11:35 上午,HTD,7:00,FOTP4 T11/HTD BY
X14504,HUH,3:38 下午,12:23 上午,HUH,8:15,EMU
X14505,HUH,12:58 下午,9:43 下午,HTD,8:15,EMU
X14506,HUH,10:52 上午,6:07 下午,HUH,6:45,EMU
X14507,SHS,6:00 上午,2:30 下午,HUH,8:00,LG1N T18/HUH BY
X14508,SHT,4:05 上午,11:20 上午,HUH,6:45,SHTP4 T9
X14509,HUH,5:30 下午,1:45 上午,HTD,7:45,EMU
X14510,HUH,4:57 下午,1:27 上午,HUH,8:00,SHSP2 STOP
X14511,HUH,2:24 下午,10:24 下午,HUH,7:30,SG2S STOP
X14512,SHS,4:55 上午,12:25 下午,HUH,7:00,SG2S T15
X14513,SHS,4:55 上午,12:25 下午,HUH,7:00,LMC Step1
X14514,SHT,4:05 上午,11:35 上午,HUH,7:00,LOW Step1/HUH BY
X14515,HUH,1:09 下午,8:09 下午,HUH,6:30,EMU
X14516,HUH,11:29 上午,7:44 下午,HUH,7:45,LOW OFF
X14517,HUH,7:09 上午,3:24 下午,HUH,7:45,EMU
X14518,SHT,4:05 上午,12:05 下午,HUH,7:30,SB
X14519,SHS,4:55 上午,12:10 下午,HUH,6:45,LMCP2 T23
X14520,HUH,4:28 下午,1:13 上午,HUH,8:15,LMCP1 STOP
X14521,HUH,2:40 下午,11:25 下午,HUH,8:15,LG2N STOP
X14522,HUH,1:21 下午,8:36 下午,HUH,6:45,EMU
X14523,HUH,7:48 上午,4:18 下午,HUH,8:00,EMU
X14524,SHS,4:55 上午,11:55 上午,HUH,6:30,LOWP3 T21
X14525,SHT,4:05 上午,11:50 上午,HUH,7:15,FOTP1 T10
X14526,HUH,5:39 下午,1:39 上午,HUH,7:30,LOWP3 STOP
X14527,HUH,4:00 下午,12:30 上午,HUH,8:00,SB
X14528,HTD,6:05 上午,2:35 下午,HUH,8:00,T28
X14529,SHT,4:05 上午,11:20 上午,HTD,6:45,RACP1 T12
X14530,HUH,6:57 下午,1:42 上午,HTD,6:15,EMU
X14531,HUH,4:42 下午,1:27 上午,HUH,8:15,LG1S STOP
X14532,HUH,4:08 下午,12:53 上午,HUH,8:15,SHS OFF
X14533,SHS,6:00 上午,1:15 下午,HUH,6:45,SHS BY/EMU
X14534,SHS,4:55 上午,12:10 下午,HUH,6:45,LG2N T19
X14535,SHT,4:05 上午,10:50 上午,HUH,6:15,SHTP1 T6
X14536,HUH,5:37 下午,1:37 上午,HUH,7:30,RACP1 STOP
X14537,HUH,4:25 下午,1:10 上午,HUH,8:15,LMCP2 STOP
X14538,LOW,1:32 下午,9:02 下午,HUH,7:00,LG1N T19a
X14539,SHS,4:55 上午,11:40 上午,HUH,6:15,LG2S T17
X14540,HTD,5:22 上午,1:37 下午,HUH,7:45,T26
X14541,HUH,5:50 下午,1:50 上午,HUH,7:30,SHTP1 STOP
X14542,HUH,3:41 下午,12:11 上午,HUH,8:00,TAPP1 STOP
X14543,HUH,1:00 下午,9:00 下午,HUH,7:30,SB
X14544,SHS,4:55 上午,12:10 下午,HUH,6:45,SHSP2 T14
X14545,SHT,4:05 上午,10:35 上午,HUH,6:00,TAPP1 T13
X14546,HUH,4:46 下午,1:31 上午,HUH,8:15,LG1N STOP
X14547,HTD,4:02 下午,12:47 上午,HTD,8:15,T28a/LG2S STOP
X14548,HUH,2:35 下午,11:20 下午,HUH,8:15,LMC OFF
X14549,SHS,4:55 上午,12:10 下午,HUH,6:45,LMCP1 T22
X14550,SHS,4:55 上午,11:40 上午,HTD,6:15,LG1S T16
X14551,HUH,5:15 下午,1:45 上午,HUH,8:00,LOWP1 STOP
X14552,HTD,4:30 下午,12:45 上午,HTD,7:45,HB
X14553,HUH,1:57 下午,9:57 下午,HUH,7:30,EMU/PM BY
X14554,HUH,7:42 上午,3:42 下午,HUH,7:30,EMU
X14555,HUH,8:10 上午,4:40 下午,HUH,8:00,EMU
X14556,HTD,6:13 上午,2:43 下午,HUH,8:00,T30
X14557,HUH,6:44 下午,1:29 上午,HTD,6:15,EMU
