Name,Book On Location,Book On Time,Book Off Time,Book Off Location,Duration,Remarks
X15101,HUH,07:33 AM,03:03 PM,HUH,7:00,EMU
X15102,HUH,05:16 AM,12:46 PM,HUH,7:00,MKKP1S T3
X15103,HTD,05:05 AM,01:05 PM,HUH,7:30,T24
X15104,HUH,01:44 PM,08:59 PM,HUH,6:45,EMU
X15105,HUH,11:00 AM,07:45 PM,HUH,8:15,KB
X15106,HUH,10:24 AM,05:24 PM,HUH,6:30,EMU
X15107,HUH,05:22 AM,12:37 PM,HUH,6:45,EMU
X15108,HUH,08:11 AM,04:41 PM,HUH,8:00,EMU
X15109,HUH,05:23 PM,01:23 AM,HUH,7:30,FOTP1 停放
X15110,HUH,05:59 PM,01:44 AM,HUH,7:15,SHTP3 停放
X15111,HUH,02:05 PM,10:20 PM,HTD,7:45,EMU
X15112,HUH,05:17 AM,12:47 PM,HUH,7:00,EMU
X15113,SHT,04:05 AM,11:05 AM,HUH,6:30,SHTP4S T8
X15114,HUH,12:35 PM,08:05 PM,HUH,7:00,EMU/PM 充風隊
X15115,HUH,01:17 PM,09:32 PM,HUH,7:45,EMU
X15116,HUH,12:22 PM,07:22 PM,HUH,6:30,EMU
X15117,HUH,08:07 AM,04:22 PM,HUH,7:45,EMU
X15118,HUH,05:41 AM,01:11 PM,HUH,7:00,EMU
X15119,HUH,04:28 AM,10:58 AM,HTD,6:00,MKKP3 T5
X15120,HUH,05:34 PM,01:34 AM,HTD,7:30,EMU
X15121,HUH,05:18 PM,01:33 AM,HUH,7:45,SHTP4 停放
X15122,HUH,04:13 PM,12:58 AM,HUH,8:15,SHTP4S 停放
X15123,HTD,05:53 AM,01:53 PM,HUH,7:30,HTD on duty/EMU
X15124,HUH,06:55 AM,02:25 PM,HUH,7:00,EMU
X15125,HTD,05:11 AM,11:41 AM,HTD,6:00,T25/充風隊
X15126,HUH,01:24 PM,10:09 PM,HUH,8:15,EMU
X15127,HUH,12:02 PM,07:17 PM,HUH,6:45,EMU
X15128,HUH,06:52 AM,02:07 PM,HUH,6:45,EMU
