番號,上班地點,上班時間,下班時間,下班地點,工時,備註
X72101,HUH,08:22 ,15:52 ,HUH,07:00,HUH BY + EMU
X72102,HUH,05:51 ,14:21 ,HUH,08:00,EMU
X72103,HTD,05:05 ,12:05 ,HUH,06:30,Run24
X72104,HUH,12:16 ,19:31 ,HTD,06:45,EMU
X72105,HUH,11:00 ,19:45 ,HUH,08:15,KB
X72106,HUH,10:55 ,17:40 ,HUH,06:15,EMU
X72107,HUH,05:22 ,13:07 ,HUH,07:15,EMU
X72108,HUH,08:14 ,16:44 ,HUH,08:00,EMU
X72109,HUH,16:49 ,01:34 ,HUH,08:15,FOTP1  STOP
X72110,HUH,19:13 ,01:43 ,HUH,06:00,SHTP3 STOP
X72111,HUH,14:04 ,20:34 ,HUH,06:00,EMU
X72112,HUH,05:17 ,12:17 ,HUH,06:30,EMU
X72113,SHT,04:05 ,10:35 ,HUH,06:00,SHTP4S Run8
X72114,HUH,12:54 ,20:24 ,HUH,07:00,EMU
X72115,HUH,13:15 ,19:45 ,HUH,06:00,EMU
X72116,HUH,12:33 ,19:03 ,HUH,06:00,EMU
X72117,,GH,,,,
X72118,HUH,05:26 ,13:26 ,HUH,07:30,EMU
X72119,HUH,04:28 ,10:58 ,HUH,06:00,MKKP3 Run5
X72120,HUH,15:25 ,22:40 ,HUH,06:45,EMU
X72121,HUH,16:31 ,01:16 ,HUH,08:15,SHTP4  STOP
X72122,HUH,15:07 ,22:22 ,HUH,06:45,SHTP4S  STOP
X72123,HUH,06:22 ,13:52 ,HUH,07:00,EMU
X72124,HUH,06:51 ,14:06 ,HUH,06:45,EMU
X72125,HTD,05:11 ,11:41 ,HUH,06:00,Run25
X72126,HUH,13:22 ,19:52 ,HUH,06:00,EMU
X72127,HUH,12:12 ,18:42 ,HUH,06:00,EMU
X72128,HUH,07:03 ,14:03 ,HUH,06:30,EMU
X72129,SHT,04:05 ,10:35 ,HUH,06:00,SHTP3 Run7
X72130,HUH,19:09 ,01:39 ,HUH,06:00,MKKP3 STOP
X72131,HUH,17:15 ,01:30 ,HUH,07:45,KB
X72132,HUH,14:43 ,21:58 ,HUH,06:45,EMU
X72133,,GH,,,,
X72134,HTD,05:00 ,13:30 ,HTD,08:00,HB/Hot Standby
X72135,HUH,04:50 ,12:35 ,HUH,07:15,HUHP1 Run1
X72136,HUH,13:57 ,21:42 ,HUH,07:15,MKKP1 STOP
X72137,HUH,17:10 ,00:55 ,HUH,07:15,EMU
X72138,HUH,17:54 ,01:09 ,HTD,06:45,EMU
X72139,HUH,05:58 ,13:28 ,HUH,07:00,EMU
X72140,HUH,04:28 ,12:28 ,HUH,07:30,KB
X72141,HUH,07:46 ,15:01 ,HUH,06:45,EMU
X72142,HUH,18:43 ,01:43 ,HUH,06:30,HUHP1 STOP
X72143,HUH,18:30 ,01:15 ,HUH,06:15,EMU
X72144,HUH,06:10 ,13:10 ,HUH,06:30,EMU
X72145,HUH,07:53 ,15:53 ,HUH,07:30,EMU
X72146,HUH,13:19 ,20:19 ,HUH,06:30,EMU
X72147,HUH,14:18 ,20:48 ,HUH,06:00,MKKP1S STOP
X72148,HUH,13:08 ,19:38 ,HUH,06:00,EMU
X72149,HUH,04:50 ,12:50 ,HUH,07:30,HUHP4 Run2
X72150,HUH,04:28 ,12:13 ,HUH,07:15,MKKP1 Run4
X72151,HUH,06:37 ,14:22 ,HUH,07:15,EMU
X72152,HUH,18:34 ,01:49 ,HUH,06:45,HUHP4  STOP
X72153,HUH,18:02 ,01:47 ,HUH,07:15,SHTP1  STOP
X72154,HUH,17:20 ,01:05 ,HUH,07:15,EMU
X72155,HUH,07:08 ,14:08 ,HUH,06:30,EMU
X72156,HUH,07:18 ,15:15 ,HUH,07:27,EMU
X72157,HUH,14:39 ,21:24 ,HUH,06:15,EMU
X72158,HUH,14:01 ,20:46 ,HUH,06:15,EMU
X72159,HTD,12:00 ,19:30 ,HTD,07:00,HB
X72301,HUH,08:00 ,14:30 ,HUH,06:00,P702/P705/P712
X72302,LOW,07:15 ,15:15 ,LOW,07:30,RS
X72303,HUH,23:30 ,06:10 ,HUH,06:10,ET12
X72304,HUH,22:10 ,06:10 ,HUH,07:30,ET6
X72305,HUH,22:10 ,06:10 ,HUH,07:30,ET5
X72306,HUH,10:15 ,17:15 ,HUH,06:30,P708/P713
X72307,HUH,13:40 ,20:10 ,HUH,06:00,EMU
X72308,HUH,13:30 ,22:15 ,HUH,08:15,P714/P717/P720
X72309,LOW,14:30 ,22:30 ,LOW,07:30,RS/MTT
X72310,HUH,13:30 ,21:45 ,HUH,07:45,P711/P718/P721
X72311,HUH,08:00 ,15:00 ,HUH,06:30,P703/P704/P707
X72312,HUH,08:21 ,16:06 ,HUH,07:15,EMU
X72313,HUH,22:10 ,06:10 ,HUH,07:30,ET8
X72314,HUH,22:10 ,06:10 ,HUH,07:30,ET3
X72315,HUH,22:10 ,06:10 ,HUH,07:30,ET1
X72316,LOW,07:15 ,15:15 ,LOW,07:30,RS
X72317,HUH,22:10 ,06:10 ,HUH,07:30,ET11
