Name,Book On Location,Book On Time,Book Off Time,Book Off Location,Duration,Remarks
Y15101,HUH,07:33 AM,03:48 PM,HUH,7:45,EMU
Y15102,HUH,05:16 AM,01:31 PM,HUH,7:45,MKKP1S T3
Y15103,HTD,05:05 AM,11:35 AM,HUH,6:00,T24
Y15104,HUH,01:45 PM,09:45 PM,HUH,7:45,EMU
Y15105,HUH,11:00 AM,07:45 PM,HUH,8:15,KB
Y15106,HUH,10:24 AM,06:39 PM,HUH,7:45,EMU
Y15107,HUH,05:22 AM,12:52 PM,HUH,7:00,EMU
Y15108,HUH,08:11 AM,03:11 PM,HUH,8:00,EMU
Y15109,HUH,04:49 PM,01:19 AM,HUH,8:00,FOTP1 停放
Y15110,HUH,05:56 PM,01:41 AM,HUH,7:15,SHTP3 停放
Y15111,HUH,02:03 PM,10:18 PM,HUH,7:45,EMU
Y15112,HUH,05:17 AM,01:02 PM,HUH,7:15,EMU
Y15113,SHT,04:05 AM,11:20 AM,HUH,6:45,SHTP4S T8/HTD 換車隊
Y15114,HUH,12:38 PM,08:23 PM,HUH,7:15,EMU/充風隊
Y15115,HUH,01:30 PM,09:15 PM,HUH,7:45,EMU
Y15116,HUH,12:24 PM,08:24 PM,HUH,7:30,EMU/Standby
Y15117,HUH,08:07 AM,04:22 PM,HUH,7:45,EMU
Y15118,HUH,05:26 AM,01:11 PM,HUH,7:15,EMU
Y15119,HUH,04:28 AM,11:13 AM,HUH,6:15,MKKP3 T5
Y15120,HUH,06:41 PM,01:26 AM,HTD,6:15,EMU
Y15121,HUH,05:11 PM,01:26 AM,HUH,7:45,SHTP4 停放
Y15122,HUH,04:14 PM,12:44 AM,HUH,8:00,SHTP4S 停放
Y15123,HTD,05:53 AM,12:53 PM,HUH,6:30,HTD on duty/EMU
Y15124,HUH,06:55 AM,02:55 PM,HUH,7:30,EMU
Y15125,HTD,05:11 AM,11:41 AM,HUH,6:00,T25/充風隊
Y15126,HUH,01:18 PM,09:33 PM,HUH,7:45,EMU
Y15127,HUH,12:02 PM,08:02 PM,HUH,7:30,EMU
Y15128,HUH,06:52 AM,03:07 PM,HUH,7:45,EMU
Y15129,SHT,04:05 AM,11:05 AM,HUH,6:30,SHTP3 T7
Y15130,HUH,06:17 PM,01:47 AM,HUH,7:00,MKKP3 停放
Y15131,HUH,05:15 PM,01:30 AM,HUH,7:45,KB
Y15132,HUH,04:00 PM,12:00 AM,HUH,7:30,EMU
Y15133,HUH,06:41 AM,03:26 PM,HUH,8:15,EMU
Y15134,HTD,05:00 AM,01:30 PM,HTD,8:00,HB/Hot Standby
Y15135,HUH,04:50 AM,11:20 AM,HUH,6:00,HUHP1 T1
Y15136,HUH,04:53 PM,01:23 AM,HUH,8:00,MKKP1 停放
Y15137,HTD,04:28 PM,01:13 AM,HUH,8:15,T8a
Y15138,HUH,04:32 PM,01:02 AM,HTD,8:00,EMU
Y15139,HUH,05:56 AM,01:56 PM,HUH,7:30,EMU
Y15140,HUH,04:28 AM,12:28 PM,HUH,7:30,KB
Y15141,HUH,06:34 AM,02:49 PM,HUH,7:45,EMU
Y15142,HUH,05:42 PM,01:42 AM,HUH,7:30,HUHP1 停放
Y15143,HUH,05:18 PM,01:18 AM,HUH,7:30,EMU
Y15144,HUH,06:15 AM,02:15 PM,HUH,7:30,EMU
Y15145,HUH,08:04 AM,04:34 PM,HUH,8:00,EMU
Y15146,HUH,01:14 PM,09:44 PM,HUH,8:00,EMU
Y15147,HUH,12:47 PM,09:02 PM,HTD,8:00,EMU
Y15148,HUH,11:26 AM,06:56 PM,HUH,7:00,EMU/Standby
Y15149,HUH,04:50 AM,12:20 PM,HUH,7:00,HUHP4 T2/AM BY
Y15150,HUH,04:28 AM,10:58 AM,HUH,6:00,MKKP1 T4
Y15151,HTD,05:26 AM,01:56 PM,HUH,8:00,T27
Y15152,HUH,05:53 PM,01:53 AM,HUH,7:30,HUHP4 停放
Y15153,HUH,07:12 PM,01:57 AM,HUH,6:15,SHTP1 停放
Y15154,HUH,05:14 PM,01:14 AM,HUH,7:30,EMU
Y15155,HUH,06:37 AM,02:52 PM,HUH,7:45,EMU
Y15156,HTD,06:36 AM,02:36 PM,HUH,7:30,T29
Y15157,HUH,03:15 PM,12:00 AM,8:15,8:00,MKKP1S 停放
Y15158,HUH,12:51 PM,08:51 PM,HUH,7:30,EMU
Y15159,HTD,12:00 PM,07:15 PM,HUH,6:45,HTD BY/T9a
Y15301,HUH,08:00 AM,02:30 PM,HUH,6:00,P702/P705/P712
Y15302,LOW,07:15 AM,03:15 PM,LOW,7:30,RS
Y15303,HUH,10:10 PM,06:10 AM,HUH,8:00,ET12
Y15304,HUH,10:10 PM,06:10 AM,HUH,8:00,ET6
Y15305,HUH,10:10 PM,06:10 AM,HUH,8:00,ET5
Y15306,HUH,10:15 AM,05:15 PM,HUH,6:30,P708/P713
Y15307,HUH,01:36 PM,09:21 PM,HTD,7:15,EMU
Y15308,HUH,01:30 PM,10:15 PM,HUH,8:15,P714/P717/P720
Y15309,LOW,02:30 PM,10:30 PM,LOW,7:30,RS/MTT
Y15310,HUH,01:30 PM,09:45 PM,HUH,7:45,P711/P718/P721
Y15311,HUH,08:00 AM,03:00 PM,HUH,6:30,P703/P704/P707
Y15312,HUH,07:48 AM,04:18 PM,HUH,8:00,EMU
Y15313,HUH,10:10 PM,06:10 AM,HUH,8:00,ET8
Y15314,HUH,10:10 PM,06:10 AM,HUH,8:00,ET3
Y15315,HUH,10:10 PM,06:10 AM,HUH,8:00,ET1
Y15316,LOW,07:15 AM,03:15 PM,LOW,7:30,RS
Y15317,HUH,10:10 PM,06:10 AM,HUH,8:00,ET11
Y15318,HUH,10:10 PM,06:10 AM,HUH,8:00,ET10
Y15319,HUH,10:10 PM,06:10 AM,HUH,8:00,ET2
Y15320,LOW,02:30 PM,10:30 PM,LOW,7:30,RS/MTT
Y15321,HUH,10:10 PM,06:10 AM,HUH,8:00,ET9
Y15322,HUH,10:10 PM,06:10 AM,HUH,8:00,ET7
Y15323,HUH,10:10 PM,06:10 AM,HUH,8:00,ET2
Y15501,SHS,04:55 AM,12:10 PM,HUH,6:45,LOW Step2
Y15502,SHS,04:55 AM,11:55 AM,HUH,6:30,LOWP1 T20
Y15503,SHT,04:05 AM,11:20 AM,HUH,6:45,FOTP4 T11
Y15504,HUH,02:17 PM,09:32 PM,HUH,6:45,LG2S 停放
