番號,上班地點,上班時間,下班時間,下班地點,工時,備註
Y75101,HUH,07:00 ,13:45 ,HUH,6:15,HUH BY + EMU
Y75102,HUH,05:51 ,12:36 ,HUH,6:15,EMU
Y75103,HTD,05:05 ,12:05 ,HUH,6:30,Run24
Y75104,HUH,12:12 ,19:27 ,HTD,6:45,EMU
Y75105,HUH,11:00 ,19:45 ,HUH,8:15,KB
Y75106,HUH,10:55 ,17:40 ,HUH,6:15,EMU
Y75107,HUH,05:22 ,13:07 ,HUH,7:15,EMU
Y75108,HUH,08:14 ,14:44 ,HUH,6:00,EMU
Y75109,HUH,16:45 ,01:30 ,HUH,8:15,FOTP1  STOP
Y75110,HUH,19:13 ,01:43 ,HUH,6:00,SHTP3 STOP
Y75111,HUH,14:04 ,20:34 ,HUH,6:00,EMU
Y75112,HUH,05:17 ,12:17 ,HUH,6:30,EMU
Y75113,SHT,04:05 ,10:35 ,HUH,6:00,SHTP4S Run8
Y75114,HUH,12:47 ,20:17 ,HUH,7:00,EMU + BY
Y75115,HUH,13:08 ,19:53 ,HUH,6:15,EMU
Y75116,HUH,12:26 ,19:11 ,HUH,6:15,EMU
Y75117,,GH,,,,
Y75118,HUH,05:26 ,11:56 ,HUH,6:00,EMU
Y75119,HUH,04:28 ,10:58 ,HUH,6:00,MKKP3 Run5
Y75120,HUH,15:21 ,22:51 ,HUH,7:00,EMU
Y75121,HUH,16:31 ,01:16 ,HUH,8:15,SHTP4  STOP
Y75122,HUH,15:07 ,22:22 ,HUH,6:45,SHTP4S  STOP
Y75123,HUH,06:22 ,13:22 ,HUH,6:30,EMU / HUH BY
Y75124,HUH,06:51 ,14:06 ,HUH,6:45,EMU
Y75125,HTD,05:11 ,11:41 ,HUH,6:00,Run25
Y75126,HUH,13:22 ,19:52 ,HUH,6:00,EMU
Y75127,HUH,12:05 ,18:35 ,HUH,6:00,EMU
Y75128,HUH,07:03 ,14:03 ,HUH,6:30,EMU
Y75129,SHT,04:05 ,10:35 ,HUH,6:00,SHTP3 Run7
Y75130,HUH,19:09 ,01:39 ,HUH,6:00,MKKP3 STOP
Y75131,HUH,17:15 ,01:30 ,HUH,7:45,KB
Y75132,HUH,14:39 ,22:09 ,HUH,7:00,EMU
Y75133,,GH,,,,
Y75134,HTD,05:00 ,13:30 ,HTD,8:00,HB/Hot Standby
Y75135,HUH,04:50 ,11:20 ,HUH,6:00,HUHP1 Run1
Y75136,HUH,13:50 ,21:35 ,HUH,7:15,MKKP1 STOP
Y75137,HTD,17:33 ,00:48 ,HUH,6:45,Run10a
Y75138,HUH,17:54 ,01:09 ,HTD,6:45,EMU
Y75139,HUH,05:58 ,13:28 ,HUH,7:00,EMU
Y75140,HUH,04:28 ,12:28 ,HUH,7:30,KB
Y75141,HUH,07:46 ,15:01 ,HUH,6:45,EMU
Y75142,HUH,18:43 ,01:43 ,HUH,6:30,HUHP1 STOP
Y75143,HTD,18:42 ,01:12 ,HUH,6:00,Run16a
Y75144,HUH,06:10 ,13:10 ,HUH,6:30,EMU
Y75145,HUH,07:53 ,15:53 ,HUH,7:30,EMU
Y75146,HUH,13:15 ,20:45 ,HUH,7:00,EMU
Y75147,HUH,14:11 ,20:56 ,HUH,6:15,MKKP1S STOP
Y75148,HUH,13:16 ,19:46 ,HTD,6:00,HUH BY + MKKP1S Run3
Y75149,HUH,04:50 ,11:20 ,HUH,6:00,HUHP4 Run2
Y75150,HUH,04:28 ,10:58 ,HUH,6:00,MKKP1 Run4
