番號,上班地點,上班時間,下班時間,下班地點,工時,備註
Z14101,HUH,07:33 ,14:33 ,HUH,6:30,EMU
Z14102,HUH,05:16 ,13:16 ,HUH,7:30,MKKP1S Run3
Z14103,HTD,05:05 ,12:05 ,HUH,6:30,Run24
Z14104,HUH,14:00 ,20:30 ,HUH,6:00,EMU
Z14105,HUH,11:00 ,19:45 ,HUH,8:15,KB
Z14106,HUH,10:44 ,17:44 ,HUH,6:30,EMU
Z14107,HUH,05:22 ,13:07 ,HUH,7:15,EMU
Z14108,HUH,08:11 ,15:41 ,HUH,7:00,EMU
Z14109,HUH,17:46 ,01:31 ,HUH,7:15,FOTP1  STOP
Z14110,HUH,17:35 ,01:35 ,HUH,7:30,SHTP3 STOP
Z14111,HUH,14:07 ,22:07 ,HTD,7:30,EMU
Z14112,HUH,05:17 ,11:47 ,HUH,6:00,EMU
Z14113,SHT,04:05 ,11:20 ,HUH,6:45,SHTP4S Run8
Z14114,HUH,12:36 ,19:06 ,HUH,6:00,EMU
Z14115,HUH,13:04 ,21:04 ,HTD,7:30,EMU
Z14116,HUH,12:22 ,21:07 ,HUH,8:15,EMU
Z14117,HUH,08:07 ,14:37 ,HUH,6:00,EMU
Z14118,HUH,05:26 ,11:56 ,HTD,6:00,EMU
Z14119,HUH,04:28 ,11:43 ,HUH,6:45,MKKP3 Run5
Z14120,HTD,16:31 ,00:46 ,HUH,7:45,Run12(2)
Z14121,HUH,18:13 ,01:13 ,HUH,6:30,SHTP4  STOP
Z14122,HUH,14:49 ,22:19 ,HUH,7:00,EMU
Z14123,HUH,07:14 ,13:44 ,HUH,6:00,EMU
Z14124,HUH,06:55 ,15:25 ,HUH,8:00,EMU
Z14125,HTD,05:11 ,12:26 ,HUH,6:45,Run25
Z14126,HUH,13:18 ,21:33 ,HTD,7:45,EMU
Z14127,HUH,12:01 ,20:31 ,HUH,8:00,EMU
Z14128,HUH,06:30 ,15:15 ,HUH,8:15,EMU
Z14129,SHT,04:05 ,10:50 ,HUH,6:15,SHTP3 Run7
Z14130,HUH,18:55 ,01:40 ,HUH,6:15,MKKP3 STOP
Z14131,HUH,17:15 ,01:30 ,HUH,7:45,KB
Z14132,HUH,15:17 ,00:02 ,HUH,8:15,EMU
Z14133,HUH,06:41 ,15:11 ,HUH,8:00,EMU
