Duty,Book On Location,Book On Time,Book off Time,Book Off Location,Duration,Remarks
Z15101,HUH,07:33 AM,02:33 PM,HUH,6:30,EMU
Z15102,HUH,05:16 AM,01:31 PM,HUH,7:45,MKKP1S T3
Z15103,HTD,05:05 AM,12:05 PM,HUH,6:30,T24
Z15104,HUH,02:00 PM,08:30 PM,HUH,6:00,EMU
Z15105,HUH,11:00 AM,07:45 PM,HUH,8:15,KB
Z15106,HUH,10:44 AM,05:44 PM,HUH,6:30,EMU
Z15107,HUH,05:22 AM,01:22 PM,HUH,7:30,EMU
Z15108,HUH,08:11 AM,03:41 PM,HUH,7:00,EMU
Z15109,HUH,05:46 PM,01:31 AM,HUH,7:15,FOTP1  STOP
Z15110,HUH,05:35 PM,01:50 AM,HUH,7:45,SHTP3 STOP
Z15111,HUH,02:07 PM,10:22 PM,HTD,7:45,EMU
Z15112,HUH,05:17 AM,11:47 AM,HUH,6:00,EMU
Z15113,SHT,04:05 AM,11:35 AM,HUH,7:00,SHTP4S T8
Z15114,HUH,12:36 PM,07:06 PM,HUH,6:00,EMU
Z15115,HUH,01:04 PM,09:19 PM,HUH,7:45,EMU
Z15116,HUH,12:22 PM,08:52 PM,HUH,8:00,EMU
Z15117,HUH,08:07 AM,02:37 PM,HUH,6:00,EMU
Z15118,HUH,05:26 AM,11:56 AM,HTD,6:00,EMU
Z15119,HUH,04:28 AM,11:43 AM,HUH,6:45,MKKP3 T5
Z15120,HUH,03:59 PM,11:44 PM,HUH,7:15,EMU
Z15121,HUH,04:17 PM,11:47 PM,HUH,7:00,SHTP4  STOP
Z15122,HUH,02:49 PM,11:04 PM,HUH,7:45,SHTP4S  STOP
Z15123,HUH,07:14 AM,01:44 PM,HUH,6:00,EMU
Z15124,HUH,06:55 AM,03:25 PM,HUH,8:00,EMU
Z15125,HTD,05:11 AM,12:26 PM,HUH,6:45,T25
Z15126,HUH,01:18 PM,09:18 PM,HTD,7:30,EMU
Z15127,HUH,12:01 PM,08:31 PM,HUH,8:00,EMU
Z15128,HUH,06:52 AM,03:22 PM,HUH,8:00,EMU
Z15129,SHT,04:05 AM,11:05 AM,HUH,6:30,SHTP3 T7
Z15130,HUH,06:55 PM,01:55 AM,HUH,6:30,MKKP3 STOP
Z15131,HUH,05:15 PM,01:30 AM,HUH,7:45,KB
Z15132,HUH,03:17 PM,09:47 PM,HUH,6:00,EMU
Z15133,HUH,06:41 AM,03:11 PM,HUH,8:00,EMU
Z15134,HTD,05:00 AM,01:30 PM,HTD,8:00,HB/Hot Standby
Z15135,HUH,04:50 AM,11:20 AM,HUH,6:00,HUHP1 T1
Z15136,HUH,02:28 PM,10:28 PM,HUH,7:30,MKKP1 STOP
Z15137,HTD,04:28 PM,11:13 PM,HUH,6:15,T12a
Z15138,HUH,04:27 PM,01:12 AM,HTD,8:15,EMU
Z15139,HUH,05:56 AM,12:26 PM,HUH,6:00,EMU
Z15140,HUH,04:28 AM,12:28 PM,HUH,7:30,KB
Z15141,HUH,06:34 AM,01:04 PM,HTD,6:00,EMU
Z15142,HUH,04:48 PM,01:18 AM,HUH,8:00,HUHP1 STOP
Z15143,HUH,04:34 PM,01:19 AM,HUH,8:15,EMU
Z15144,HUH,06:15 AM,12:45 PM,HUH,6:00,EMU
Z15145,HUH,08:01 AM,04:16 PM,HUH,7:45,EMU
Z15146,HUH,02:14 PM,10:29 PM,HUH,7:45,EMU
