Name,Book On Location,Book On Time,BookOffTime,BookOffLocation,Duration,Remarks
Z71101,HUH,07:29 AM,04:14 PM,HUH,8:15,EMU
Z71102,HUH,05:16 AM,12:31 PM,HUH,6:45,MKKP1S T3/HTD  BY
Z71103,HTD,05:05 AM,01:05 PM,HUH,7:30,T24
Z71104,HUH,12:41 PM,09:11 PM,HTD,8:00,EMU
Z71105,HUH,11:00 AM,07:45 PM,HUH,8:15,KB
Z71106,HUH,10:55 AM,05:55 PM,HUH,6:30,EMU
Z71107,HUH,05:17 AM,12:47 PM,HUH,7:00,EMU
Z71108,HUH,08:05 AM,04:50 PM,HUH,8:15,EMU OT
Z71109,HUH,04:59 PM,01:29 AM,HUH,8:00,FOTP1  STOP
Z71110,HUH,06:20 PM,01:20 AM,HUH,6:30,HUHP1  STOP
Z71111,HUH,03:10 PM,10:55 PM,HUH,7:15,EMU
Z71112,HUH,05:22 AM,12:22 PM,HUH,6:30,EMU
Z71113,SHT,04:05 AM,10:50 AM,HTD,6:15,SHTP4S T8
Z71114,HUH,12:14 PM,07:59 PM,HUH,7:15,EMU
Z71115,HUH,11:52 AM,06:52 PM,HUH,6:30,EMU
Z71116,HUH,11:16 AM,07:46 PM,HUH,8:00,EMU
Z71117,,GH,,,,
Z71118,HUH,05:44 AM,01:59 PM,HUH,7:45,EMU
Z71119,HUH,04:28 AM,10:58 AM,HUH,6:00,MKKP3 T5
Z71120,HUH,04:55 PM,01:40 AM,HUH,8:15,MKKP3  STOP
Z71121,HUH,06:23 PM,01:23 AM,HUH,6:30,SHTP4S  STOP
Z71122,HUH,03:41 PM,12:26 AM,HUH,8:15,MKKP1S  STOP
Z71123,HUH,07:21 AM,04:06 PM,HUH,8:15,EMU
Z71124,HUH,07:17 AM,02:47 PM,HUH,7:00,EMU
Z71125,HTD,05:11 AM,12:41 PM,HUH,7:00,T25
Z71126,HUH,01:04 PM,09:49 PM,HUH,8:15,EMU  OT
Z71127,HUH,11:21 AM,07:06 PM,HUH,7:15,EMU
Z71128,HUH,06:41 AM,03:26 PM,HUH,8:15,EMU
Z71129,SHT,04:05 AM,10:35 AM,HUH,6:00,SHTP3 T7
Z71130,HUH,06:46 PM,01:46 AM,HUH,6:30,SHTP4  STOP
Z71131,HUH,05:15 PM,01:30 AM,HUH,7:45,KB
Z71132,HUH,02:17 PM,10:02 PM,HUH,7:15,EMU
Z71133,,GH,,,,
Z71134,HTD,05:00 AM,01:30 PM,HTD,8:00,HB/Hot Standby
Z71135,HUH,04:50 AM,12:35 PM,HUH,7:15,HUHP1 T1
Z71136,HUH,05:10 PM,12:55 AM,HUH,7:15,MKKP1  STOP
Z71137,HUH,04:21 PM,01:06 AM,HUH,8:15,EMU
Z71138,HUH,04:48 PM,01:03 AM,HUH,7:45,RACP1 STOP
Z71139,HUH,07:01 AM,02:31 PM,HUH,7:00,EMU
Z71140,HUH,04:28 AM,12:28 PM,HUH,7:30,KB
Z71141,HUH,11:27 AM,06:27 PM,HUH,6:30,EMU
Z71142,HUH,04:52 PM,01:37 AM,HUH,8:15,SHTP3  STOP
Z71143,HUH,06:30 PM,01:15 AM,HUH,6:15,EMU
Z71144,HUH,07:53 AM,03:23 PM,HUH,7:00,EMU
