Name,Book On Location,Book On Time,Book Off Time,Book Off Location,Duration,Remarks
Z75101,HUH,07:29,16:14,HUH,08:15,EMU
Z75102,HUH,05:16,12:01,HTD,06:15,MKKP1S T3/HTD BY
Z75103,HTD,05:05,13:05,HUH,07:30,T24
Z75104,HUH,12:14,20:14,HUH,07:30,EMU
Z75105,HUH,11:00,19:45,HUH,08:15,KB
Z75106,HUH,10:51,17:51,HUH,06:30,EMU
Z75107,HUH,05:17,12:47,HUH,07:00,EMU
Z75108,HUH,08:05,16:50,HUH,08:15,EMU
Z75109,HUH,17:27,01:27,HUH,07:30,FOTP1  STOP
Z75110,HUH,18:52,01:37,HUH,06:15,SHTP3 STOP
Z75111,HUH,15:13,22:43,HUH,07:00,EMU
Z75112,HUH,05:22,12:22,HUH,06:30,EMU
Z75113,SHT,04:05,10:50,HTD,06:15,SHTP4S T8
Z75114,HUH,13:07,20:07,HUH,06:30,EMU/PM BY
Z75115,HUH,11:49,18:49,HUH,06:30,EMU
Z75116,HUH,11:16,18:31,HUH,06:45,EMU
Z75117,,GH,,,,
Z75118,HUH,05:44,13:14,HUH,07:00,EMU
Z75119,HUH,04:28,10:58,HUH,06:00,MKKP3 T5
Z75120,HUH,17:42,00:50,HUH,06:30,MKKP1S STOP
Z75121,HUH,18:16,01:16,HUH,06:30,SHTP4  STOP
Z75122,HUH,15:37,00:22,HUH,08:15,SHTP4S  STOP
Z75123,HUH,07:20,16:05,HUH,08:15,EMU
Z75124,HUH,07:17,15:02,HUH,07:15,EMU
Z75125,HTD,05:11,12:41,HUH,07:00,T25
Z75126,HUH,13:04,21:49,HUH,08:15,EMU
Z75127,HUH,11:20,19:05,HUH,07:15,EMU
Z75128,HUH,06:41,15:26,HUH,08:15,EMU
Z75129,SHT,04:05,10:35,HUH,06:00,SHTP3 T7
Z75130,HUH,18:38,01:53,HUH,06:45,SHTP3  STOP
Z75131,HUH,17:15,01:30,HUH,07:45,KB
Z75132,HUH,14:10,21:40,HUH,07:00,EMU
Z75133,,GH,,,,
Z75134,HTD,05:00,13:30,HTD,08:00,HB/Hot Standby
Z75135,HUH,04:50,12:35,HUH,07:15,HUHP1 T1
Z75136,HUH,18:20,01:20,HUH,06:30,HUHP1  STOP
Z75137,HUH,16:10,00:55,HUH,08:15,EMU
Z75138,HUH,17:13,00:58,HUH,07:15,RACP1  STOP
Z75139,HUH,07:01,14:31,HUH,07:00,EMU
Z75140,HUH,04:28,12:28,HUH,07:30,KB
Z75141,HUH,11:27,18:42,HUH,06:45,EMU
Z75142,HUH,16:34,01:19,HUH,08:15,MKKP1  STOP
Z75143,HUH,18:31,01:16,HUH,06:15,EMU
Z75144,HUH,07:53,15:23,HUH,07:00,EMU
Z75145,HUH,10:09,17:24,HUH,06:45,EMU
Z75146,HUH,12:26,20:26,HUH,07:30,EMU
Z75147,HUH,12:12,19:27,HUH,06:45,EMU
Z75148,HUH,11:08,18:08,HUH,06:30,EMU
Z75149,HUH,04:50,12:05,HUH,06:45,HUHP4 T2/AM BY
Z75150,HUH,04:28,10:58,HUH,06:00,MKKP1 T4
Z75151,HUH,10:13,17:43,HUH,07:00,EMU
Z75152,HUH,18:26,01:42,HUH,06:45,HUHP4  STOP
Z75153,HUH,18:23,01:53,HUH,07:00,SHTP1  STOP
Z75154,HUH,16:17,01:02,HUH,08:15,EMU
Z75155,HUH,08:20,17:05,HUH,08:15,EMU
Z75156,HTD,08:04,16:49,HUH,08:15,T19a
Z75157,HUH,13:11,21:26,HUH,07:45,EMU
Z75158,HUH,12:22,20:07,HUH,07:15,EMU
Z75159,HUH,11:04,18:19,HUH,06:45,EMU
Z75301,HUH,08:00,14:30,HUH,06:00,P702/P705/P712
Z75302,LOW,07:15,15:15,LOW,07:30,RS
Z75303,HUH,23:30,06:30,HUH,07:00,ET12
Z75304,HUH,22:10,06:10,HUH,08:00,ET6
Z75305,HUH,22:10,06:10,HUH,08:00,ET5
Z75306,HUH,10:15,17:15,HUH,06:30,P708/P713
Z75307,HUH,13:28,21:28,HUH,07:30,EMU
Z75308,HUH,14:00,22:15,HUH,07:45,P714/P717/P720
Z75309,LOW,14:30,22:30,LOW,07:30,RS/MTT
Z75310,HUH,13:30,21:45,HUH,07:45,P711/P718/P721
Z75311,HUH,08:00,15:00,HUH,06:30,P703/P704/P707
Z75312,HUH,06:53,15:38,HUH,08:15,EMU OT
Z75313,HUH,22:10,06:10,HUH,08:00,ET8
Z75314,HUH,22:10,06:10,HUH,08:00,ET3
Z75315,HUH,22:10,06:10,HUH,08:00,ET1
Z75316,LOW,07:15,15:15,LOW,07:30,RS
Z75317,HUH,22:10,06:10,HUH,08:00,ET11
