Name,Book On Location,Book On Time,Book Off Time,Book Off Location,Duration,Remarks
B71101,HUH,07:29 上午,04:14 下午,HUH,8:15,EMU
B71102,HUH,05:16 上午,12:16 下午,HTD,6:30,MKKP1S T3/HTD BY
B71103,HTD,05:05 上午,01:05 下午,HUH,7:30,T24
B71104,HUH,12:14 下午,07:59 下午,HUH,7:15,EMU
B71105,HUH,11:00 上午,07:45 下午,HUH,8:15,KB
B71106,HUH,10:51 上午,05:51 下午,HUH,6:30,EMU
B71107,HUH,05:17 上午,12:47 下午,HUH,7:00,EMU
B71108,HUH,08:05 上午,04:50 下午,HUH,8:15,EMU
B71109,HUH,04:38 下午,01:23 上午,HUH,8:15,FOTP1  STOP
B71110,HUH,06:52 下午,01:37 上午,HUH,6:15,SHTP3 STOP
B71111,HUH,03:13 下午,10:43 下午,HUH,7:00,EMU
B71112,HUH,05:22 上午,12:22 下午,HUH,6:30,EMU
B71113,SHT,04:05 上午,10:50 上午,HTD,6:15,SHTP4S T8
B71114,HUH,12:49 下午,08:04 下午,HUH,6:45,EMU
B71115,HUH,11:49 上午,06:49 下午,HUH,6:30,EMU
B71116,HUH,11:16 上午,07:46 下午,HUH,8:00,EMU
B71117,,GH,,,,
B71118,HUH,05:44 上午,01:14 下午,HUH,7:00,EMU
B71119,HUH,04:28 上午,10:58 上午,HUH,6:00,MKKP3 T5
B71120,HUH,05:42 下午,12:52 上午,HUH,6:30,MKKP1S STOP
B71121,HUH,06:16 下午,01:16 上午,HUH,6:30,SHTP4  STOP
B71122,HUH,03:37 下午,12:22 上午,HUH,8:15,SHTP4S  STOP
B71123,HUH,07:20 上午,04:05 下午,HUH,8:15,EMU
B71124,HUH,07:17 上午,03:02 下午,HUH,7:15,EMU
B71125,HTD,05:11 上午,12:41 下午,HUH,7:00,T25
B71126,HUH,01:04 下午,09:49 下午,HUH,8:15,EMU
B71127,HUH,12:41 下午,09:11 下午,HTD,8:00,EMU
B71128,HUH,06:41 上午,03:26 下午,HUH,8:15,EMU
B71129,SHT,04:05 上午,10:35 上午,HUH,6:00,SHTP3 T7
B71130,HUH,06:38 下午,01:53 上午,HUH,6:45,SHTP3  STOP
B71131,HUH,05:15 下午,01:30 上午,HUH,7:45,KB
B71132,HUH,02:10 下午,09:40 下午,HUH,7:00,EMU
B71133,,GH,,,,
B71134,HTD,05:00 上午,01:30 下午,HTD,8:00,HB/Hot Standby
B71135,HUH,04:50 上午,12:35 下午,HUH,7:15,HUHP1 T1
B71136,HUH,06:20 下午,01:20 上午,HUH,6:30,HUHP1  STOP
B71137,HUH,04:10 下午,12:55 上午,HUH,8:15,EMU
B71138,HUH,05:13 下午,12:58 上午,HUH,7:15,RACP1  STOP
B71139,HUH,07:01 上午,02:31 下午,HUH,7:00,EMU
B71140,HUH,04:28 上午,12:28 下午,HUH,7:30,KB
B71141,HUH,11:27 上午,06:42 下午,HUH,6:45,EMU
B71142,HUH,04:34 下午,01:19 上午,HUH,8:15,MKKP1  STOP
B71143,HTD,04:47 下午,01:17 上午,HUH,8:00,T29
B71144,HUH,07:53 上午,03:23 下午,HUH,7:00,EMU
B71145,HUH,10:09 上午,05:24 下午,HUH,6:45,EMU
B71146,HUH,12:26 下午,08:26 下午,HUH,7:30,EMU
B71147,HUH,12:12 下午,08:42 下午,HTD,8:00,EMU
B71148,HUH,11:08 上午,06:08 下午,HUH,6:30,EMU
B71149,HUH,04:50 上午,12:05 下午,HUH,6:45,HUHP4 T2/AM BY
B71150,HUH,04:28 上午,10:58 上午,HUH,6:00,MKKP1 T4
B71151,HUH,10:13 上午,05:43 下午,HUH,7:00,EMU
B71152,HUH,06:27 下午,01:42 上午,HUH,6:45,HUHP4  STOP
B71153,HUH,06:23 下午,01:53 上午,HUH,7:00,SHTP1  STOP
B71154,HUH,04:17 下午,01:02 上午,HUH,8:15,EMU
B71155,HUH,08:20 上午,05:05 下午,HUH,8:15,EMU
B71156,HTD,08:04 上午,04:49 下午,HUH,8:15,T19a
B71157,HUH,01:11 下午,09:26 下午,HUH,7:45,EMU
B71158,HUH,12:22 下午,08:07 下午,HUH,7:15,EMU
B71159,HUH,11:04 上午,06:19 下午,HUH,6:45,EMU
B71301,HUH,08:00 上午,02:30 下午,HUH,6:00,P702/P705/P712
B71302,LOW,07:15 上午,03:15 下午,LOW,7:30,RS
B71303,HUH,10:10 下午,06:10 上午,HUH,8:00,ET12
B71304,HUH,10:10 下午,06:10 上午,HUH,8:00,ET6
B71305,HUH,10:10 下午,06:10 上午,HUH,8:00,ET5
B71306,HUH,10:15 上午,05:15 下午,HUH,6:30,P708/P713
B71307,HUH,01:28 下午,09:28 下午,HUH,7:30,EMU
B71308,HUH,02:00 下午,10:15 下午,HUH,7:45,P714/P717/P720
B71309,LOW,02:30 下午,10:30 下午,LOW,7:30,RS/MTT
B71310,HUH,01:30 下午,09:45 下午,HUH,7:45,P711/P718/P721
B71311,HUH,08:00 上午,03:00 下午,HUH,6:30,P703/P704/P707
B71312,HUH,06:53 上午,03:38 下午,HUH,8:15,EMU OT
B71313,HUH,10:10 下午,06:10 上午,HUH,8:00,ET8
B71314,HUH,10:10 下午,06:10 上午,HUH,8:00,ET3
B71315,HUH,10:10 下午,06:10 上午,HUH,8:00,ET1
B71316,LOW,07:15 上午,03:15 下午,LOW,7:30,RS
B71317,HUH,10:10 下午,06:10 上午,HUH,8:00,ET11
B71318,HUH,10:10 下午,06:10 上午,HUH,8:00,ET10
B71319,HUH,10:10 下午,06:10 上午,HUH,8:00,ET2
B71320,LOW,02:30 下午,10:30 下午,HUH,7:30,RS/MTT
B71321,HUH,10:10 下午,06:10 上午,HUH,8:00,ET9
B71322,HUH,10:10 下午,06:10 上午,HUH,8:00,ET7
B71323,HUH,10:10 下午,06:10 上午,HUH,8:00,ET4
B71501,HTD,06:27 上午,02:27 下午,HUH,7:30,T28
B71502,SHS,04:55 上午,11:40 上午,HUH,6:15,LOWP1 T20
B71503,SHT,04:05 上午,10:35 上午,HUH,6:00,FOTP4 T11
B71504,HUH,03:29 下午,12:14 上午,HUH,8:15,LG2S STOP
B71505,HUH,01:35 下午,10:20 下午,HUH,8:15,EMU
B71506,HUH,12:30 下午,09:00 下午,HUH,8:00,EMU
B71507,SHS,04:55 上午,12:40 下午,HUH,7:15,LG2N T18
B71508,SHT,04:05 上午,11:20 上午,HUH,6:45,SHTP4 T9
B71509,HUH,05:54 下午,01:54 上午,HTD,7:30,EMU
B71510,HUH,05:02 下午,01:32 上午,HUH,8:00,SHSP2 STOP
B71511,HUH,03:06 下午,11:36 下午,HUH,8:00,SG2S STOP
B71512,SHS,04:55 上午,12:55 下午,HUH,7:30,LG2N T19
B71513,SHS,04:55 上午,12:10 下午,HUH,6:45,LMC PICK T4
B71514,SHT,04:05 上午,12:05 下午,HUH,7:30,LOW P3 PICK T13/BY
B71515,HUH,12:54 下午,09:39 下午,HUH,8:15,EMU
B71516,HUH,01:00 下午,09:15 下午,HUH,7:45,EMU
B71517,,GH,,,,
B71518,SHT,04:05 上午,12:05 下午,HUH,7:30,SB
B71519,SHS,04:55 上午,11:55 上午,HUH,6:30,LMCP2 T23
B71520,HUH,04:48 下午,01:33 上午,HUH,8:15,LMCP1 STOP
B71521,HUH,04:24 下午,12:09 上午,HTD,7:15,LG2N STOP
B71522,HUH,01:32 下午,10:17 下午,HUH,8:15,LMC OFF
B71523,HUH,07:05 上午,03:50 下午,HUH,8:15,EMU
B71524,SHS,04:55 上午,01:25 下午,HUH,8:00,LOWP3 T21
B71525,SHT,04:05 上午,11:35 上午,HUH,7:00,FOTP1 T10
B71526,HUH,05:17 下午,01:32 上午,HTD,7:45,LOWP3 STOP
B71527,HUH,04:00 下午,12:30 上午,HUH,8:00,SB
B71528,HTD,06:04 上午,01:49 下午,HUH,7:15,T27
B71529,SHT,04:05 上午,10:50 上午,HUH,6:15,RACP1 T12
B71530,HUH,06:48 下午,01:33 上午,HTD,6:15,EMU
B71531,HUH,04:45 下午,01:30 上午,HUH,8:15,LG1S STOP
B71532,HUH,04:14 下午,12:59 上午,HUH,8:15,SHS OFF
B71533,,GH,,,,
B71534,SHS,04:55 上午,12:55 下午,HUH,7:30,SG2S T15
B71535,SHT,04:05 上午,10:35 上午,HUH,6:00,SHTP1 T6
B71536,HUH,05:33 下午,01:48 上午,HTD,7:45,EMU
B71537,HUH,04:31 下午,01:16 上午,HUH,8:15,LMCP2 STOP
B71538,HUH,02:03 下午,10:48 下午,HUH,8:15,EMU+ BY+EMU
B71539,HTD,04:55 上午,12:40 下午,HUH,6:45,LG2S T17
B71540,HTD,05:22 上午,01:52 下午,HUH,8:00,T26
B71541,HUH,05:36 下午,01:36 上午,HUH,7:30,FOTP4  STOP
B71542,HUH,03:54 下午,12:09 上午,HUH,7:45,TAPP1  STOP
B71543,HUH,01:00 下午,09:00 下午,HUH,7:30,SB
B71544,SHS,04:55 上午,01:10 下午,HUH,7:45,SHSP2 T14
B71545,SHT,04:05 上午,11:50 上午,HUH,7:15,TAPP1 T13
B71546,HUH,06:34 下午,01:19 上午,HUH,6:15,LG1N STOP
B71547,HUH,05:47 下午,01:32 上午,HTD,7:15,EMU
B71548,HUH,04:52 下午,12:52 上午,HTD,7:30,EMU
