Name,Book On Location,Book On Time,Book Off Time,Book Off Location,Duration,Remarks
F15101,HUH,6:41 上午,2:56 下午,HUH,7:45,TAP PICK T32
F15102,HUH,5:16 上午,12:46 下午,HUH,7:00,MKKP1S T3
F15103,HTD,5:05 上午,1:05 下午,HUH,7:30,T24
F15104,HUH,1:44 下午,8:59 下午,HUH,6:45,EMU
F15105,HUH,11:00 上午,7:45 下午,HUH,8:15,KB
F15106,HUH,10:28 上午,5:28 下午,HUH,6:30,EMU
F15107,HUH,5:22 上午,12:37 下午,HUH,6:45,EMU
F15108,HUH,8:00 上午,4:45 下午,HUH,8:15,EMU
F15109,HUH,5:23 下午,1:23 上午,HUH,7:30,FOTP1 STOP
F15110,HUH,5:59 下午,1:44 上午,HUH,7:15,SHTP3 STOP
F15111,HUH,2:11 下午,10:26 下午,HTD,7:45,EMU
F15112,HUH,5:17 上午,12:47 下午,HUH,7:00,EMU
F15113,SHT,4:05 上午,10:50 上午,HUH,6:15,SHTP4S T8
F15114,HUH,12:35 下午,8:05 下午,HUH,7:00,EMU/PM BY
F15115,HUH,1:17 下午,9:32 下午,HUH,7:45,EMU
F15116,HUH,12:22 下午,7:22 下午,HUH,6:30,EMU
F15117,HUH,7:33 上午,4:18 下午,HUH,8:15,EMU
F15118,HUH,5:41 上午,1:11 下午,HUH,7:00,EMU
F15119,HUH,4:28 上午,10:58 上午,HUH,6:00,MKKP3 T5
F15120,HUH,5:34 下午,1:34 上午,HTD,7:30,EMU
F15121,HUH,5:42 下午,1:27 上午,HUH,7:15,SHTP4 STOP
F15122,HUH,4:16 下午,1:01 上午,HUH,8:15,SHTP4S STOP
F15123,HTD,5:53 上午,1:38 下午,HTD,7:15,T29
F15124,HUH,6:53 上午,2:23 下午,HUH,7:00,EMU
F15125,HTD,5:11 上午,11:41 上午,HTD,6:00,T25
F15126,HUH,1:24 下午,10:09 下午,HUH,8:15,EMU
F15127,HUH,12:02 下午,7:17 下午,HUH,6:45,EMU
F15128,HUH,6:56 上午,1:56 下午,HUH,6:30,EMU
F15129,SHT,4:05 上午,10:35 上午,HTD,6:00,SHTP3 T7
F15130,HUH,6:54 下午,1:54 上午,HUH,6:30,MKKP3 STOP
F15131,HUH,5:15 下午,1:30 上午,HUH,7:45,KB
F15132,HUH,4:02 下午,11:17 下午,HUH,6:45,EMU
F15133,HUH,6:40 上午,3:10 下午,HUH,8:00,EMU
F15134,HTD,5:00 上午,1:30 下午,HTD,8:00,HB/Hot Standby
F15135,HUH,4:50 上午,12:35 下午,HUH,7:15,HUHP1 T1
F15136,HUH,4:28 下午,1:13 上午,HUH,8:15,HUHP1 STOP
F15137,HTD,5:03 下午,1:03 上午,HUH,7:30,T24a
F15138,HUH,4:40 下午,1:10 上午,HTD,8:15,EMU
F15139,HUH,5:56 上午,1:26 下午,HUH,7:00,EMU
F15140,HUH,4:28 上午,12:28 下午,HUH,7:30,KB
F15141,HUH,6:34 上午,2:04 下午,HUH,7:00,EMU
F15142,HUH,5:39 下午,1:24 上午,HUH,7:15,MKKP1 STOP
F15143,HUH,6:26 下午,1:26 上午,HUH,6:30,EMU
F15144,HUH,6:15 上午,3:00 下午,HUH,8:15,EMU
F15145,HUH,8:05 上午,4:50 下午,HUH,8:15,EMU
F15146,HUH,1:30 下午,9:15 下午,HUH,7:15,EMU
F15147,HUH,12:41 下午,7:41 下午,HUH,6:30,EMU
F15148,HUH,10:25 上午,6:10 下午,HUH,7:15,EMU
F15149,HUH,4:50 上午,12:20 下午,HUH,7:00,HUHP4 T2/AM BY
