Name,Book On Location,Book On Time,Book Off Time,Book Off Location,Duration,Remarks
R14101,HUH,06:41 上午,02:56 下午,HUH,7:45,TAP PICK T32
R14102,HUH,05:16 上午,12:46 下午,HUH,7:00,MKKP1S T3
R14103,HTD,05:05 上午,01:05 下午,HUH,7:30,T24
R14104,HUH,01:44 下午,08:59 下午,HUH,6:45,EMU
R14105,HUH,11:00 上午,07:45 下午,HUH,8:15,KB
R14106,HUH,10:28 上午,05:28 下午,HUH,6:30,EMU
R14107,HUH,05:22 上午,12:37 下午,HUH,6:45,EMU
R14108,HUH,08:00 上午,04:45 下午,HUH,8:15,EMU
R14109,HUH,05:23 下午,01:23 上午,HUH,7:30,FOTP1 STOP
R14110,HUH,05:07 下午,01:52 上午,HUH,8:15,SHTP3 STOP
R14111,HUH,02:11 下午,10:26 下午,HTD,7:45,EMU
R14112,HUH,05:17 上午,12:47 下午,HUH,7:00,EMU
R14113,SHT,04:05 上午,10:50 上午,HUH,6:15,SHTP4S T8
R14114,HUH,12:35 下午,08:05 下午,HUH,7:00,EMU/PM BY
R14115,HUH,01:17 下午,09:32 下午,HUH,7:45,EMU
R14116,HUH,12:22 下午,07:22 下午,HUH,6:30,EMU
R14117,HUH,07:33 上午,04:18 下午,HUH,8:15,EMU
R14118,HUH,05:41 上午,01:11 下午,HUH,7:00,EMU
R14119,HUH,04:28 上午,10:58 上午,HUH,6:00,MKKP3 T5
R14120,HUH,05:34 下午,01:34 上午,HTD,7:30,EMU
R14121,HUH,05:42 下午,01:27 上午,HUH,7:15,SHTP4 STOP
R14122,HUH,04:16 下午,01:01 上午,HUH,8:15,MKKP1S STOP
R14123,HTD,05:53 上午,01:38 下午,HTD,7:15,T29
R14124,HUH,06:53 上午,02:23 下午,HUH,7:00,EMU
R14125,HTD,05:11 上午,11:41 上午,HTD,6:00,T25
R14126,HUH,01:24 下午,10:09 下午,HUH,8:15,EMU
R14127,HUH,12:02 下午,07:47 下午,HTD,7:15,EMU/HTD BY
R14128,HUH,06:56 上午,01:56 下午,HUH,6:30,EMU
R14129,SHT,04:05 上午,10:35 上午,HTD,6:00,SHTP3 T7
R14130,HUH,06:54 下午,01:54 上午,HUH,6:30,MKKP3 STOP
R14131,HUH,05:15 下午,01:30 上午,HUH,7:45,KB
R14132,HUH,04:02 下午,12:47 上午,HUH,8:15,SHTP4S STOP
R14133,HUH,06:40 上午,03:10 下午,HUH,8:00,EMU
R14134,HTD,05:00 上午,01:30 下午,HTD,8:00,HB/Hot Standby
