Name,Book On Location,Book On Time,Book Off Time,Book Off Location,Duration,Remarks
U14101,HUH,07:31  上午,03:01  下午,HUH,07:00,EMU
U14102,HUH,05:16  上午,12:46  下午,HUH,07:00,MKKP1S T3
U14103,HTD,05:05  上午,01:05  下午,HUH,07:30,T24
U14104,HUH,01:44  下午,08:59  下午,HUH,06:45,EMU
U14105,HUH,11:00  上午,07:45  下午,HUH,08:15,KB
U14106,HUH,10:25  上午,05:25  下午,HUH,06:30,EMU
U14107,HUH,05:22  上午,12:37  下午,HUH,06:45,EMU
U14108,HUH,08:11  上午,04:41  下午,HUH,08:00,EMU
U14109,HUH,05:23  下午,01:23  上午,HUH,07:30,FOTP1 STOP
U14110,HUH,05:07  下午,01:52  上午,HUH,08:15,SHTP3 STOP
U14111,HUH,02:11  下午,10:26  下午,HTD,07:45,EMU
U14112,HUH,05:17  上午,12:47  下午,HUH,07:00,EMU
U14113,SHT,04:05  上午,11:05  上午,HUH,06:30,SHTP4S T8
U14114,HUH,12:35  下午,08:05  下午,HUH,07:00,EMU/PM BY
U14115,HUH,01:17  下午,09:32  下午,HUH,07:45,EMU
U14116,HUH,12:22  下午,07:22  下午,HUH,06:30,EMU
U14117,HUH,08:07  上午,04:22  下午,HUH,07:45,EMU
U14118,HUH,05:41  上午,01:11  下午,HUH,07:00,EMU
U14119,HUH,04:28  上午,10:58  上午,HTD,06:00,MKKP3 T5
U14120,HUH,05:34  下午,01:34  上午,HTD,07:30,EMU
U14121,HUH,05:42  下午,01:27  上午,HUH,07:15,SHTP4 STOP
U14122,HUH,04:16  下午,01:01  上午,HUH,08:15,MKKP1S STOP
U14123,HTD,05:53  上午,01:38  下午,HTD,07:15,HTD on DUTY/EMU
U14124,HUH,06:52  上午,02:25  下午,HUH,07:00,EMU
U14125,HTD,05:11  上午,11:41  上午,HTD,06:00,T25
U14126,HUH,01:24  下午,10:09  下午,HUH,08:15,EMU
U14127,HUH,12:02  下午,07:47  下午,HTD,07:15,EMU/HTD BY
U14128,HUH,06:56  上午,01:56  下午,HUH,06:30,EMU
U14129,SHT,04:05  上午,10:35  上午,HTD,06:00,SHTP3 T7
U14130,HUH,06:54  下午,01:54  上午,HUH,06:30,MKKP3 STOP
U14131,HUH,05:15  下午,01:30  上午,HUH,07:45,KB
U14132,HUH,04:02  下午,12:47  上午,HUH,08:15,SHTP4S STOP
U14133,HUH,06:41  上午,03:11  下午,HUH,08:00,EMU
U14134,HTD,05:00  上午,01:30  下午,HTD,08:00,HB/Hot Standby
U14135,HUH,04:50  上午,12:50  下午,HUH,07:30,HUHP1 T1
U14136,HUH,04:28  下午,01:13  上午,HUH,08:15,HUHP1 STOP
U14137,HTD,05:03  下午,01:03  上午,HUH,07:30,T2a
U14138,HUH,04:40  下午,01:10  上午,HTD,08:00,EMU
U14139,HUH,05:56  上午,01:26  下午,HUH,07:00,EMU
U14140,HUH,04:28  上午,12:28  下午,HUH,07:30,KB
U14141,HUH,06:34  上午,02:04  下午,HUH,07:00,EMU
U14142,HUH,05:59  下午,01:29  上午,HUH,07:00,MKKP1 STOP
